stem,z_m,m_chi_GeV,raw,L,S,occ,comb
eval_signal_neg_91_5GeV,0.33,5.0,36.33787894745647,0.008088223218897317,33.13325599944865,0.019052558883257648,30.6515395162182
eval_signal_neg_58_5GeV,0.66,5.0,32.51601898141899,0.002799769575772149,29.55953832733184,0.0069282032302755096,27.321316293326717
eval_signal_neg_24_5GeV,1.0,5.0,0.7532952608373426,0.005910624659963425,0.6081118318204308,0.013856406460551019,0.5014647117623106
eval_signal_neg_20_5GeV,1.04,5.0,2.728516767403125,0.0003110855084191276,2.5682118292695404,0.0,1.9917837931290205
eval_signal_neg_16_5GeV,1.08,5.0,27.929244804505547,0.044174142195516124,24.679794430363472,0.04416729559300637,21.22878190688293
eval_signal_neg_8_5GeV,1.16,5.0,22.915280564505423,6.729401718122569,18.368512854882944,8.27487273316031,17.83767589261561
eval_signal_zero_5GeV,1.24,5.0,21.01170924984448,22.69742086527639,14.119154653342386,39.51587314928015,25.49712383989894
eval_signal_neg_91_0.5GeV,0.33,0.5,0.5813348002657333,0.004666282626286914,0.4451237187569317,0.009526279441628824,0.35875021154797143
eval_signal_neg_58_0.5GeV,0.66,0.5,0.05499636351614532,0.002799769575772149,0.04207285348059958,0.0069282032302755096,0.033060010370752846
eval_signal_neg_24_0.5GeV,1.0,0.5,0.010069756700139283,0.003421940592610404,0.00848528137423857,0.008660254037844387,0.010801785566681623
eval_signal_neg_20_0.5GeV,1.04,0.5,0.0631296285431809,0.0009332565252573829,0.05550788232314398,0.0008660254037844387,0.04222516176066452
eval_signal_neg_16_0.5GeV,1.08,0.5,1.205659715674369,0.05723973354911948,0.9386842520251418,0.05022947341949744,0.7489237992899259
eval_signal_neg_8_0.5GeV,1.16,0.5,1.5178221733786867,6.896454636143639,0.7346839456528229,8.487048957087499,7.601183770590323
eval_signal_zero_0.5GeV,1.24,0.5,1.2494244274865125,22.816877700509334,0.4670440289737146,39.747101932090594,24.100420233443472
eval_signal_neg_91_0.05GeV,0.33,0.05,0.007745966692414834,0.0037330261010295315,0.006363961030678928,0.007794228634059948,0.00916515138991168
eval_signal_neg_58_0.05GeV,0.66,0.05,0.0069713700231733506,0.004666282626286914,0.006010407640085654,0.008660254037844387,0.008510497719203702
eval_signal_neg_24_0.05GeV,1.0,0.05,0.006584071688552609,0.002799769575772149,0.006010407640085654,0.0069282032302755096,0.008183170883849714
eval_signal_neg_20_0.05GeV,1.04,0.05,0.058482048527732,0.0015554275420956382,0.05267945519839779,0.0017320508075688774,0.04189783492531054
eval_signal_neg_16_0.05GeV,1.08,0.05,1.0685561052186263,0.06221710168382552,0.8379215357060588,0.05802370205355739,0.6703653588049686
eval_signal_neg_8_0.05GeV,1.16,0.05,1.3392776411185248,6.8902329259752575,0.6721049955178133,8.32337015577224,7.558958608829658
eval_signal_zero_0.05GeV,1.24,0.05,1.0445436084721405,22.887183025412057,0.383605428793702,39.93156534309668,24.16523094684356
eval_signal_neg_91_low,0.33,0.005,0.0069713700231733506,0.004355197117867786,0.006010407640085654,0.009526279441628824,0.00916515138991168
eval_signal_neg_58_low,0.66,0.005,0.0092951600308978,0.002488684067353021,0.008131727983645297,0.002598076211353316,0.008510497719203702
eval_signal_neg_24_low,1.0,0.005,0.011231651704001509,0.004044111609448659,0.009899494936611665,0.010392304845413263,0.012765746578805554
eval_signal_neg_20_low,1.04,0.005,0.057320153523869766,0.0006221710168382552,0.05232590180780451,0.0,0.041243181254602565
eval_signal_neg_16_low,1.08,0.005,1.072041790230213,0.04821825380496478,0.834386001800126,0.038105117766515297,0.6674194172867827
eval_signal_neg_8_low,1.16,0.005,1.340439536122387,6.910142398514082,0.6678623548306941,8.483584855472362,7.584490101987269
eval_signal_zero_low,1.24,0.005,1.0627466301993151,22.86727355287323,0.40411152544811185,39.685614128421896,24.161630351654665
