z_m,m_chi_GeV,stem,def_raw,def_L,def_S,def_occ,def_comb,ora_raw,ora_L,ora_S,ora_occ,ora_comb,shift_raw,shift_L,shift_S,shift_occ,shift_comb
0.33,5.0,eval_signal_neg_91_5GeV,34.646808148934745,0.008221921916437787,33.84588066579858,0.019052558883257648,33.503142142063396,34.646808148934745,0.008221921916437787,33.84588066579858,0.019052558883257648,33.503142142063396,0.0,0.0,0.0,0.0,0.0
0.66,5.0,eval_signal_neg_58_5GeV,31.00280764998258,0.0028460498941515417,30.195300056825715,0.0069282032302755096,29.631533106825056,31.00280764998258,0.0028460498941515417,30.195300056825715,0.0069282032302755096,29.632255421943572,0.0,0.0,0.0,0.0,0.0007223151185158372
1.0,5.0,eval_signal_neg_24_5GeV,0.7160232030267786,0.00632455532033676,0.6186628990077679,0.013856406460551019,0.23800283155056573,0.7182388498644064,0.00632455532033676,0.621191001922569,0.013856406460551019,0.24016977690610955,0.0022156468376278715,0.0,0.0025281029148011003,0.0,0.00216694535554382
1.04,5.0,eval_signal_neg_20_5GeV,2.5996922894835075,0.000316227766016838,2.620920407530281,0.0,1.0968355074644431,2.6015386618481973,0.000316227766016838,2.6234485104450824,0.0,1.0986412952607296,0.0018463723646897634,0.0,0.0025281029148014333,0.0,0.0018057877962864843
1.08,5.0,eval_signal_neg_16_5GeV,26.62838224355905,0.04490434277439099,25.20915879371933,0.04416729559300637,13.9988281543725,26.62949006697787,0.04490434277439099,25.210603423956353,0.04416729559300637,14.000633942168786,0.0011078234188204306,0.0,0.001444630237024569,0.0,0.0018057877962860402
1.16,5.0,eval_signal_neg_8_5GeV,21.83446103587796,6.847279817562592,18.74552195569129,8.271408631545173,12.81567599024556,21.84886274032254,6.8460149064985245,18.76357983365416,8.27487273316031,12.820009880956649,0.014401704444580332,-0.0012649110640676753,0.018057877962867508,0.003464101615136883,0.004333890711087918
1.24,5.0,eval_signal_zero_5GeV,19.219997767476933,23.107395318382384,13.660423521348402,39.41195010082602,26.969079579980185,20.03387870583228,23.078302363908833,14.422827128940579,39.51587314928015,27.00772343882072,0.8138809383553465,-0.029092954473551202,0.7624036075921765,0.10392304845412781,0.03864385884053334
0.33,0.5,eval_signal_neg_91_0.5GeV,0.5528038859881833,0.004743416490252569,0.45325273686792106,0.009526279441628824,0.13146135156965996,0.5542809838799354,0.004743416490252569,0.4546973671049503,0.009526279441628824,0.13254482424743189,0.0014770978917520994,0.0,0.0014446302370292319,0.0,0.001083472677771924
0.66,0.5,eval_signal_neg_58_0.5GeV,0.05169842621131975,0.0028460498941515417,0.04225543443310499,0.0069282032302755096,0.013362829692520381,0.052436975157195746,0.0028460498941515417,0.04297774955161961,0.0069282032302755096,0.013362829692520381,0.0007385489458759942,0.0,0.0007223151185146159,0.0,0.0
1.0,0.5,eval_signal_neg_24_0.5GeV,0.008862587350511958,0.0034785054261852176,0.008306623862918075,0.008660254037844387,0.00902893898143269,0.009601136296387952,0.0034785054261852176,0.008667781422175383,0.008660254037844387,0.009751254099947305,0.0007385489458759942,0.0,0.00036115755925730797,0.0,0.0007223151185146142
