stem,z_m,m_chi_GeV,SIC_comb_cauchy
eval_signal_neg_91_5GeV,0.33,5.0,0.019052558883257648
eval_signal_neg_58_5GeV,0.66,5.0,0.0069282032302755096
eval_signal_neg_24_5GeV,1.0,5.0,0.013856406460551019
eval_signal_neg_20_5GeV,1.04,5.0,0.0
eval_signal_neg_16_5GeV,1.08,5.0,0.04416729559300637
eval_signal_neg_8_5GeV,1.16,5.0,8.274006707756527
eval_signal_zero_5GeV,1.24,5.0,39.505480844434736
eval_signal_neg_91_0.5GeV,0.33,0.5,0.009526279441628824
eval_signal_neg_58_0.5GeV,0.66,0.5,0.0069282032302755096
eval_signal_neg_24_0.5GeV,1.0,0.5,0.008660254037844387
eval_signal_neg_20_0.5GeV,1.04,0.5,0.0008660254037844387
eval_signal_neg_16_0.5GeV,1.08,0.5,0.05022947341949744
eval_signal_neg_8_0.5GeV,1.16,0.5,8.487048957087499
eval_signal_zero_0.5GeV,1.24,0.5,39.71159489053543
eval_signal_neg_91_0.05GeV,0.33,0.05,0.007794228634059948
eval_signal_neg_58_0.05GeV,0.66,0.05,0.008660254037844387
eval_signal_neg_24_0.05GeV,1.0,0.05,0.0069282032302755096
eval_signal_neg_20_0.05GeV,1.04,0.05,0.0017320508075688774
eval_signal_neg_16_0.05GeV,1.08,0.05,0.05802370205355739
eval_signal_neg_8_0.05GeV,1.16,0.05,8.32337015577224
eval_signal_zero_0.05GeV,1.24,0.05,39.90125445396422
eval_signal_neg_91_low,0.33,0.005,0.009526279441628824
eval_signal_neg_58_low,0.66,0.005,0.002598076211353316
eval_signal_neg_24_low,1.0,0.005,0.010392304845413263
eval_signal_neg_20_low,1.04,0.005,0.0
eval_signal_neg_16_low,1.08,0.005,0.038105117766515297
eval_signal_neg_8_low,1.16,0.005,8.483584855472362
eval_signal_zero_low,1.24,0.005,39.65010708686674
