z_m,m_chi_GeV,stem,sic_raw,sic_L,sic_S,sic_occ,sic_shellI,sic_shellII,sic_comb4,sic_comb6
0.33,5.0,eval_signal_neg_91_5GeV,34.646808148934745,0.008221921916437787,33.84588066579858,0.019052558883257648,0.00939666415794974,34.03022095138379,33.503142142063396,37.198034262578986
0.66,5.0,eval_signal_neg_58_5GeV,31.00280764998258,0.0028460498941515417,30.195300056825715,0.0069282032302755096,0.004555958379611996,34.120730619375664,29.631533106825056,36.68623495980905
1.0,5.0,eval_signal_neg_24_5GeV,0.7160232030267786,0.00632455532033676,0.6186628990077679,0.013856406460551019,0.007403432366869493,16.37235041159332,0.23800283155056573,2.858208373310658
1.04,5.0,eval_signal_neg_20_5GeV,2.5996922894835075,0.000316227766016838,2.620920407530281,0.0,0.00028474739872574975,23.45862101925431,1.0968355074644431,5.059978510459881
1.08,5.0,eval_signal_neg_16_5GeV,26.62838224355905,0.04490434277439099,25.20915879371933,0.04416729559300637,0.04669857339102296,24.074157472277196,13.9988281543725,8.331043619467714
1.16,5.0,eval_signal_neg_8_5GeV,21.83446103587796,6.847279817562592,18.74552195569129,8.271408631545173,6.77186263649578,17.670598461851824,12.81567599024556,11.651778691865484
1.24,5.0,eval_signal_zero_5GeV,19.219997767476933,23.107395318382384,13.660423521348402,39.41195010082602,21.350359956456717,13.348761815239644,26.969079579980185,28.784737183737533
0.33,0.5,eval_signal_neg_91_0.5GeV,0.5528038859881833,0.004743416490252569,0.45325273686792106,0.009526279441628824,0.004840705778337746,6.116120103873043,0.13146135156965996,0.7029293218944188
0.66,0.5,eval_signal_neg_58_0.5GeV,0.05169842621131975,0.0028460498941515417,0.04225543443310499,0.0069282032302755096,0.0037017161834347464,2.536745577506739,0.013362829692520381,0.12318150920704907
1.0,0.5,eval_signal_neg_24_0.5GeV,0.008862587350511958,0.0034785054261852176,0.008306623862918075,0.008660254037844387,0.003986463582160496,0.0364159992311072,0.00902893898143269,0.011920791213585392
1.04,0.5,eval_signal_neg_20_0.5GeV,0.05871464119714172,0.0009486832980505139,0.05525710656636806,0.0008660254037844387,0.0008542421961772492,0.04525483399593905,0.02311408379246769,0.015894388284780528
1.08,0.5,eval_signal_neg_16_0.5GeV,1.1484436108371745,0.05850213671311502,0.9577898471503797,0.05022947341949744,0.06435291211201943,0.0728319984622144,0.33009800916117915,0.2086138462377444
1.16,0.5,eval_signal_neg_8_0.5GeV,1.444601738133449,7.016777900147617,0.7494019354589133,8.486182931683713,6.925056737010234,0.12268302653586599,8.12748971352645,9.584316135722657
1.24,0.5,eval_signal_zero_0.5GeV,1.0812356567624588,23.231672830427,0.4268882350421376,39.65876734090458,21.44660457722602,0.3609780117957325,26.503547486097517,28.135848782011365
0.33,0.05,eval_signal_neg_91_0.05GeV,0.007016214985821966,0.0037947331922020557,0.006500836066631537,0.007794228634059948,0.004271210980886246,0.030759144981614816,0.0072231511851461525,0.00874191355662929
0.66,0.05,eval_signal_neg_58_0.05GeV,0.005539117094069973,0.004743416490252569,0.0054173633888596135,0.008660254037844387,0.004840705778337746,0.029344931419241722,0.0068619936258888445,0.007947194142390264
1.0,0.05,eval_signal_neg_24_0.05GeV,0.005908391567007972,0.0028460498941515417,0.005778520948116922,0.0069282032302755096,0.0037017161834347464,0.026870057685088808,0.0072231511851461525,0.00874191355662929
1.04,0.05,eval_signal_neg_20_0.05GeV,0.054652621994823736,0.00158113883008419,0.05272900365156691,0.0017320508075688774,0.001993231791080248,0.031466251762801364,0.02419755647023961,0.015497028577661012
1.08,0.05,eval_signal_neg_16_0.05GeV,1.018828270835937,0.0632455532033676,0.855943415439819,0.05802370205355739,0.06890887049163143,0.05550788232314398,0.31565170679088683,0.21258744330893953
1.16,0.05,eval_signal_neg_8_0.05GeV,1.273996931636094,7.00950466152923,0.6851158899111125,8.322504130368456,6.911958356668849,0.1064195705685754,8.116654986748731,9.569216466852115
1.24,0.05,eval_signal_zero_0.05GeV,0.9276174760202516,23.306302583206975,0.35790714122399186,39.84409677731445,21.532028796843743,0.29839906166072305,26.588780670082244,28.24552006117635
0.33,0.005,eval_signal_neg_91_low,0.005169842621131975,0.004427188724235731,0.004695048270344998,0.009526279441628824,0.004840705778337746,0.030759144981614816,0.0075843087444034596,0.009933992677987828
0.66,0.005,eval_signal_neg_58_low,0.00812403840463596,0.002529822128134704,0.0075843087444034596,0.002598076211353316,0.0031322213859832472,0.02545584412271571,0.0068619936258888445,0.009139273263748802
1.0,0.005,eval_signal_neg_24_low,0.01033968524226395,0.004427188724235731,0.009390096540689997,0.010392304845413263,0.005125453177063495,0.03181980515339464,0.009390096540689997,0.009536632970868316
1.04,0.005,eval_signal_neg_20_low,0.05354479857600974,0.000632455532033676,0.0520066885330523,0.0,0.0008542421961772492,0.03217335854398791,0.024919871588754222,0.01629174799190004
1.08,0.005,eval_signal_neg_16_low,1.021782466619441,0.04901530373260988,0.8519706822879887,0.038105117766515297,0.05410200575789245,0.05480077554195743,0.30662276780945413,0.20424288945942973
1.16,0.005,eval_signal_neg_8_low,1.277320401892536,7.0332217439804925,0.6815043143185395,8.480986779261007,6.958087435262421,0.09722718241315027,8.12351698037462,9.625244185555967
1.24,0.005,eval_signal_zero_low,0.9409113570460195,23.279423223095545,0.37452038894982803,39.60074363885102,21.495581129806848,0.3143089642374204,26.57577899794898,28.23677814761972
