stem,z_m,m_chi_GeV,dom4,dom5,sic_raw,sic_L,sic_S,sic_occ,sic_shellII,flipped
eval_signal_neg_91_5GeV,0.33,5.0,raw,raw,34.646808148934745,0.008221921916437787,33.84588066579858,0.019052558883257648,34.03022095138379,0
eval_signal_neg_58_5GeV,0.66,5.0,raw,shellII,31.00280764998258,0.0028460498941515417,30.195300056825715,0.0069282032302755096,34.120730619375664,1
eval_signal_neg_24_5GeV,1.0,5.0,raw,shellII,0.7160232030267786,0.00632455532033676,0.6186628990077679,0.013856406460551019,16.37235041159332,1
eval_signal_neg_20_5GeV,1.04,5.0,S,shellII,2.5996922894835075,0.000316227766016838,2.620920407530281,0.0,23.45862101925431,1
eval_signal_neg_16_5GeV,1.08,5.0,raw,raw,26.62838224355905,0.04490434277439099,25.20915879371933,0.04416729559300637,24.074157472277196,0
eval_signal_neg_8_5GeV,1.16,5.0,raw,raw,21.83446103587796,6.847279817562592,18.74552195569129,8.271408631545173,17.670598461851824,0
eval_signal_zero_5GeV,1.24,5.0,occ,occ,19.219997767476933,23.107395318382384,13.660423521348402,39.41195010082602,13.348761815239644,0
eval_signal_neg_91_0.5GeV,0.33,0.5,raw,shellII,0.5528038859881833,0.004743416490252569,0.45325273686792106,0.009526279441628824,6.116120103873043,1
eval_signal_neg_58_0.5GeV,0.66,0.5,raw,shellII,0.05169842621131975,0.0028460498941515417,0.04225543443310499,0.0069282032302755096,2.536745577506739,1
eval_signal_neg_24_0.5GeV,1.0,0.5,comb4,shellII,0.008862587350511958,0.0034785054261852176,0.008306623862918075,0.008660254037844387,0.0364159992311072,0
eval_signal_neg_20_0.5GeV,1.04,0.5,raw,raw,0.05871464119714172,0.0009486832980505139,0.05525710656636806,0.0008660254037844387,0.04525483399593905,0
eval_signal_neg_16_0.5GeV,1.08,0.5,raw,raw,1.1484436108371745,0.05850213671311502,0.9577898471503797,0.05022947341949744,0.0728319984622144,0
eval_signal_neg_8_0.5GeV,1.16,0.5,occ,occ,1.444601738133449,7.016777900147617,0.7494019354589133,8.486182931683713,0.12268302653586599,0
eval_signal_zero_0.5GeV,1.24,0.5,occ,occ,1.0812356567624588,23.231672830427,0.4268882350421376,39.65876734090458,0.3609780117957325,0
eval_signal_neg_91_0.05GeV,0.33,0.05,occ,shellII,0.007016214985821966,0.0037947331922020557,0.006500836066631537,0.007794228634059948,0.030759144981614816,0
eval_signal_neg_58_0.05GeV,0.66,0.05,occ,shellII,0.005539117094069973,0.004743416490252569,0.0054173633888596135,0.008660254037844387,0.029344931419241722,0
eval_signal_neg_24_0.05GeV,1.0,0.05,comb4,shellII,0.005908391567007972,0.0028460498941515417,0.005778520948116922,0.0069282032302755096,0.026870057685088808,0
eval_signal_neg_20_0.05GeV,1.04,0.05,raw,raw,0.054652621994823736,0.00158113883008419,0.05272900365156691,0.0017320508075688774,0.031466251762801364,0
eval_signal_neg_16_0.05GeV,1.08,0.05,raw,raw,1.018828270835937,0.0632455532033676,0.855943415439819,0.05802370205355739,0.05550788232314398,0
eval_signal_neg_8_0.05GeV,1.16,0.05,occ,occ,1.273996931636094,7.00950466152923,0.6851158899111125,8.322504130368456,0.1064195705685754,0
eval_signal_zero_0.05GeV,1.24,0.05,occ,occ,0.9276174760202516,23.306302583206975,0.35790714122399186,39.84409677731445,0.29839906166072305,0
eval_signal_neg_91_low,0.33,0.005,occ,shellII,0.005169842621131975,0.004427188724235731,0.004695048270344998,0.009526279441628824,0.030759144981614816,0
eval_signal_neg_58_low,0.66,0.005,raw,shellII,0.00812403840463596,0.002529822128134704,0.0075843087444034596,0.002598076211353316,0.02545584412271571,0
eval_signal_neg_24_low,1.0,0.005,occ,shellII,0.01033968524226395,0.004427188724235731,0.009390096540689997,0.010392304845413263,0.03181980515339464,0
eval_signal_neg_20_low,1.04,0.005,raw,raw,0.05354479857600974,0.000632455532033676,0.0520066885330523,0.0,0.03217335854398791,0
eval_signal_neg_16_low,1.08,0.005,raw,raw,1.021782466619441,0.04901530373260988,0.8519706822879887,0.038105117766515297,0.05480077554195743,0
eval_signal_neg_8_low,1.16,0.005,occ,occ,1.277320401892536,7.0332217439804925,0.6815043143185395,8.480986779261007,0.09722718241315027,0
eval_signal_zero_low,1.24,0.005,occ,occ,0.9409113570460195,23.279423223095545,0.37452038894982803,39.60074363885102,0.3143089642374204,0
