stem,z_m,m_chi_GeV,SIC_comb_evalue
eval_signal_neg_91_5GeV,0.33,5.0,34.452217643737086
eval_signal_neg_58_5GeV,0.66,5.0,30.265127211740865
eval_signal_neg_24_5GeV,1.0,5.0,0.07294714329078086
eval_signal_neg_20_5GeV,1.04,5.0,0.3688933256570058
eval_signal_neg_16_5GeV,1.08,5.0,5.466500173132454
eval_signal_neg_8_5GeV,1.16,5.0,9.325517442556665
eval_signal_zero_5GeV,1.24,5.0,25.742782292185456
eval_signal_neg_91_0.5GeV,0.33,0.5,0.03628458940888582
eval_signal_neg_58_0.5GeV,0.66,0.5,0.008315218406203
eval_signal_neg_24_0.5GeV,1.0,0.5,0.008315218406203
eval_signal_neg_20_0.5GeV,1.04,0.5,0.013228756555322954
eval_signal_neg_16_0.5GeV,1.08,0.5,0.14665021552758017
eval_signal_neg_8_0.5GeV,1.16,0.5,4.933948230662452
eval_signal_zero_0.5GeV,1.24,0.5,19.448161958689788
eval_signal_neg_91_0.05GeV,0.33,0.05,0.006047431568147636
eval_signal_neg_58_0.05GeV,0.66,0.05,0.007181324987175318
eval_signal_neg_24_0.05GeV,1.0,0.05,0.007559289460184545
eval_signal_neg_20_0.05GeV,1.04,0.05,0.015496543393378318
eval_signal_neg_16_0.05GeV,1.08,0.05,0.14816207341961707
eval_signal_neg_8_0.05GeV,1.16,0.05,4.759706608605199
eval_signal_zero_0.05GeV,1.24,0.05,19.43379930871544
eval_signal_neg_91_low,0.33,0.005,0.007181324987175318
eval_signal_neg_58_low,0.66,0.005,0.006047431568147636
eval_signal_neg_24_low,1.0,0.005,0.008315218406203
eval_signal_neg_20_low,1.04,0.005,0.017008401285415226
eval_signal_neg_16_low,1.08,0.005,0.14929596683864477
eval_signal_neg_8_low,1.16,0.005,4.780494654620707
eval_signal_zero_low,1.24,0.005,19.29244059580999
