regime,z_m,m_chi_GeV,SUP_AUC,SUP_SIC_at_1e-2,SUP_SIC_at_1e-3,SUP_eps_B_at_1e-2,SUP_eps_B_at_1e-3,T_raw_SIC,T_I_SIC,T_S_SIC,T_occ_SIC,p_comb_SIC,best_unsup_channel,best_unsup_SIC,best_unsup_over_supervised,theory_max_SIC_1e-3
morphology,0.33,5.0,0.9998825225,9.982999999999999,31.52316485538849,0.01,0.001,26.9716,0.0387,30.0506,0.0197,31.3617,p_comb,31.3617,0.9948778983287622,31.622776601683796
combination,1.16,5.0,0.9998570425,10.0,31.587991547421943,0.01,0.001,8.3847,10.2975,5.2913,8.5427,13.0685,p_comb,13.0685,0.4137173450987132,31.622776601683796
occupancy,1.24,5.0,0.9999997675,10.0,31.622776601683796,0.01,0.001,6.2246,22.2185,3.2771,40.7009,29.904,T_occ,40.7009,1.2870754681874716,31.622776601683796
