z_m,m_chi_GeV,stem,sic_raw,sic_L,sic_S,sic_occ,sic_shellI,sic_shellII,sic_comb4,sic_comb6
0.33,5.0,eval_signal_neg_91_5GeV,28.797786075619474,0.038731092948374304,30.050623986865897,0.01967739820199815,0.03262029020921385,31.56439523793925,31.36166662238047,30.480666666666668
0.66,5.0,eval_signal_neg_58_5GeV,21.635948921050023,0.027798929616171877,22.40467836189576,0.007155417527999327,0.02338268590217984,31.388547217433505,20.73572736803514,30.602
1.0,5.0,eval_signal_neg_24_5GeV,0.04158158933264301,0.034358227615493335,0.04879036790187177,0.014310835055998655,0.024248711305964284,16.71951299026317,0.04580312135571031,5.2876666666666665
1.04,5.0,eval_signal_neg_20_5GeV,0.4959365166746935,0.0009370425713316364,0.5685138520739842,0.0,0.0008660254037844387,14.963303885101537,0.10238344773629364,3.552
1.08,5.0,eval_signal_neg_16_5GeV,8.384606330310667,0.11525623627379128,8.678321525502499,0.045615786740995715,0.11893415545306292,12.250961723795186,1.3086606101631517,1.9383333333333335
1.16,5.0,eval_signal_neg_8_5GeV,7.085773271643883,10.297473163887128,5.291280043618935,8.542674101240197,10.022223322862713,9.475028765405579,13.068515793196909,4.995666666666667
1.24,5.0,eval_signal_zero_5GeV,5.683493332198328,22.218528756368208,3.2770863774090544,40.700909326451175,20.841478692341706,7.170511256821966,29.904049642766395,9.124333333333333
0.33,0.5,eval_signal_neg_91_0.5GeV,0.03718678720805473,0.02405075933084533,0.0431335136523794,0.009838699100999075,0.0202072594216369,8.383927486880069,0.03772021758705555,1.3306666666666667
0.66,0.5,eval_signal_neg_58_0.5GeV,0.012170221268090638,0.02405075933084533,0.013435028842544404,0.007155417527999327,0.019341234017852465,2.839199312630606,0.029637313818400787,0.1486666666666667
1.0,0.5,eval_signal_neg_24_0.5GeV,0.008451542547285166,0.022801369235736484,0.00848528137423857,0.00894427190999916,0.01414508159514583,0.036986484017813855,0.022709110588125282,0.014
1.04,0.5,eval_signal_neg_20_0.5GeV,0.0358345404004891,0.0018740851426632728,0.03924442635585339,0.0008944271909999159,0.00202072594216369,0.039906469598167585,0.017705408255148523,0.012333333333333333
1.08,0.5,eval_signal_neg_16_0.5GeV,0.5554353762075811,0.13368474017664678,0.5762920266670362,0.05187677707799512,0.138852739740105,0.06748411119039721,0.3090748441061797,0.06066666666666667
1.16,0.5,eval_signal_neg_8_0.5GeV,0.5442793400451647,10.523925118625609,0.393858477120907,8.764492044608176,10.235842922462876,0.1307504654313946,13.042727481173106,3.9000000000000004
1.24,0.5,eval_signal_zero_0.5GeV,0.4252816209793895,22.166366719897415,0.2665792565073284,40.95403222150415,20.792981269729776,0.23100330369020583,29.892117737203144,8.276
0.33,0.05,eval_signal_neg_91_0.05GeV,0.004732863826479692,0.021551979140627637,0.0049497474683058325,0.008049844718999243,0.017609183210283586,0.02887541296127573,0.024633611485424034,0.012000000000000002
0.66,0.05,eval_signal_neg_58_0.05GeV,0.006423172335936726,0.030922404853944,0.006717514421272202,0.00894427190999916,0.023094010767585032,0.026604313065445057,0.03040711417732029,0.012000000000000002
1.0,0.05,eval_signal_neg_24_0.05GeV,0.006085110634045319,0.027798929616171877,0.006363961030678928,0.007155417527999327,0.02078460969082653,0.024657656011875907,0.030792014356780043,0.011000000000000001
1.04,0.05,eval_signal_neg_20_0.05GeV,0.03651066380427192,0.0021864326664404847,0.04207285348059958,0.0017888543819998318,0.002309401076758503,0.029199855803537254,0.017705408255148523,0.013666666666666667
1.08,0.05,eval_signal_neg_16_0.05GeV,0.4891752826368654,0.144304555985072,0.5073491155013479,0.059926621796994366,0.1521317959314664,0.040555355282690636,0.31754264805429416,0.06333333333333334
1.16,0.05,eval_signal_neg_8_0.05GeV,0.4949223315690193,10.480821160344354,0.3620386719675124,8.595445305509193,10.206398058734203,0.09798173836298057,12.979218951562247,3.865333333333333
1.24,0.05,eval_signal_zero_0.05GeV,0.34583712103490893,22.172613670372957,0.23617366491630687,41.14812292195113,20.810879128074657,0.18947461988073064,29.89596673899774,8.348
0.33,0.005,eval_signal_neg_91_low,0.005747048932153913,0.024987801902176972,0.006363961030678928,0.009838699100999075,0.0178978583448784,0.02984874148806031,0.026173212203263036,0.012000000000000002
0.66,0.005,eval_signal_neg_58_low,0.006761234037828133,0.024987801902176972,0.00742462120245875,0.0026832815729997475,0.0178978583448784,0.024657656011875907,0.028097713100561784,0.011000000000000001
1.0,0.005,eval_signal_neg_24_low,0.00912766595106798,0.024363106854622545,0.00954594154601839,0.01073312629199899,0.018475208614068026,0.02757764159222963,0.026558112382722782,0.014333333333333333
1.04,0.005,eval_signal_neg_20_low,0.03786291061183754,0.0021864326664404847,0.04101219330881976,0.0,0.0025980762113533163,0.02757764159222963,0.020014809331907024,0.012000000000000002
1.08,0.005,eval_signal_neg_16_low,0.5118254166635896,0.12962422236754303,0.5299765324993173,0.0393547964039963,0.13567731325956206,0.04866642633922876,0.3106144448240187,0.06166666666666667
1.16,0.005,eval_signal_neg_8_low,0.48816109753119113,10.515179387959847,0.35779603128039306,8.759125481462176,10.228048693828816,0.09279065288679618,13.024252272559039,3.881666666666667
1.24,0.005,eval_signal_zero_low,0.3627402061294793,22.194790344561138,0.23475945135393378,40.89768330847115,20.819250706977904,0.20861674757416063,29.92752855371344,8.289
