z_m,sample,raw_LL,p_raw,p_L,p_S,p_Bonf,p_comb
0.33,neg_91_5GeV,26.972,28.798,0.039,30.051,33.883,32.592
0.66,neg_58_5GeV,20.610,21.636,0.028,22.405,17.706,21.549
1.0,neg_24_5GeV,0.043,0.042,0.034,0.049,0.014,0.048
1.04,neg_20_5GeV,0.579,0.496,0.001,0.569,0.013,0.106
1.08,neg_16_5GeV,10.158,8.385,0.115,8.678,0.158,1.360
1.16,neg_8_5GeV,8.385,7.086,10.297,5.291,5.151,13.544
1.24,zero_5GeV,6.225,5.683,22.219,3.277,8.441,28.553
