z_m,stem,raw_LL,T_occ_raw,T_occ_simple,p_raw,p_L,p_S,p_occ,p_Bonf,p_comb
0.33,eval_signal_neg_91_5GeV,26.9716,0.0052,0.0009,28.7978,0.0387,30.0506,0.0197,32.3059,31.3617
0.66,eval_signal_neg_58_5GeV,20.6104,0.0019,0.0000,21.6359,0.0278,22.4047,0.0072,16.8821,20.7357
1.0,eval_signal_neg_24_5GeV,0.0434,0.0038,0.0000,0.0416,0.0344,0.0488,0.0143,0.0132,0.0458
1.04,eval_signal_neg_20_5GeV,0.5790,0.0000,0.0000,0.4959,0.0009,0.5685,0.0000,0.0124,0.1024
1.08,eval_signal_neg_16_5GeV,10.1581,0.0120,0.0233,8.3846,0.1153,8.6783,0.0456,0.1514,1.3087
1.16,eval_signal_neg_8_5GeV,8.3847,2.2459,4.3612,7.0858,10.2975,5.2913,8.5427,4.9505,13.0685
1.24,eval_signal_zero_5GeV,6.2246,10.7251,20.8267,5.6835,22.2185,3.2771,40.7009,10.7445,29.9040
