z_m,m_chi_GeV,stem,n_seed,SIC_T_raw_med,SIC_T_raw_min,SIC_T_raw_max,SIC_T_I_med,SIC_T_I_min,SIC_T_I_max,SIC_T_S_med,SIC_T_S_min,SIC_T_S_max,SIC_Typ_I_med,SIC_Typ_I_min,SIC_Typ_I_max,SIC_Typ_II_med,SIC_Typ_II_min,SIC_Typ_II_max,SIC_Typ_tot_med,SIC_Typ_tot_min,SIC_Typ_tot_max,SIC_V_I_med,SIC_V_I_min,SIC_V_I_max,SIC_V_II_med,SIC_V_II_min,SIC_V_II_max,SIC_M_med,SIC_M_min,SIC_M_max,SICm_T_raw_med,SICm_T_raw_min,SICm_T_raw_max,SICm_T_I_med,SICm_T_I_min,SICm_T_I_max,SICm_T_S_med,SICm_T_S_min,SICm_T_S_max,SICm_Typ_I_med,SICm_Typ_I_min,SICm_Typ_I_max,SICm_Typ_II_med,SICm_Typ_II_min,SICm_Typ_II_max,SICm_Typ_tot_med,SICm_Typ_tot_min,SICm_Typ_tot_max,SICm_V_I_med,SICm_V_I_min,SICm_V_I_max,SICm_V_II_med,SICm_V_II_min,SICm_V_II_max,SICm_M_med,SICm_M_min,SICm_M_max,AUC_T_raw_med,AUC_T_I_med,AUC_T_S_med,AUC_Typ_I_med,AUC_Typ_II_med,AUC_Typ_tot_med,AUC_V_I_med,AUC_V_II_med,AUC_M_med
1.0000,0.5000,eval_signal_neg_24_0.5GeV,3,0.0089,0.0086,0.0090,0.0092,0.0035,0.0248,0.0084,0.0083,0.0092,0.0056,0.0040,0.0146,0.0199,0.0163,0.0364,0.0236,0.0147,0.0355,0.0311,0.0180,0.0429,0.0051,0.0049,0.0060,0.0056,0.0040,0.0146,0.0090,0.0086,0.0098,0.0073,0.0035,0.0224,0.0084,0.0073,0.0092,0.0053,0.0035,0.0136,0.0196,0.0146,0.0320,0.0196,0.0145,0.0307,0.0274,0.0215,0.0395,0.0050,0.0049,0.0052,0.0053,0.0035,0.0136,0.3662,0.5840,0.3545,0.5540,0.5624,0.5928,0.5837,0.3413,0.5540
1.0000,5.0000,eval_signal_neg_24_5GeV,3,0.0669,0.0527,0.7160,0.0160,0.0063,0.0374,0.0735,0.0541,0.6187,0.0098,0.0074,0.0250,13.0833,12.4839,16.3724,15.5504,11.6663,17.1672,0.0346,0.0260,0.0520,0.0155,0.0072,0.3738,0.0098,0.0074,0.0250,0.0669,0.0527,0.8273,0.0120,0.0063,0.0337,0.0735,0.0541,0.5420,0.0093,0.0063,0.0228,12.0745,11.6596,14.4061,12.8003,11.0677,14.7017,0.0305,0.0289,0.0479,0.0158,0.0081,0.3316,0.0093,0.0063,0.0228,0.7516,0.5915,0.7424,0.5600,0.9756,0.9756,0.5986,0.5952,0.5600
1.0400,0.0050,eval_signal_neg_20_low,3,0.0579,0.0535,0.0585,0.0006,0.0000,0.0024,0.0597,0.0520,0.0622,0.0009,0.0000,0.0027,0.0217,0.0125,0.0318,0.0217,0.0089,0.0247,0.0000,0.0000,0.0000,0.0527,0.0501,0.0720,0.0009,0.0000,0.0027,0.0585,0.0579,0.0779,0.0006,0.0000,0.0021,0.0597,0.0455,0.0622,0.0009,0.0000,0.0025,0.0205,0.0124,0.0280,0.0212,0.0089,0.0218,0.0000,0.0000,0.0000,0.0595,0.0533,0.0597,0.0009,0.0000,0.0025,0.8715,0.3201,0.8688,0.3451,0.5102,0.4842,0.2036,0.8709,0.3451
1.0400,0.0500,eval_signal_neg_20_0.05GeV,3,0.0615,0.0547,0.0625,0.0016,0.0000,0.0024,0.0641,0.0527,0.0652,0.0020,0.0000,0.0024,0.0213,0.0158,0.0315,0.0217,0.0132,0.0247,0.0000,0.0000,0.0000,0.0507,0.0470,0.0771,0.0020,0.0000,0.0024,0.0625,0.0615,0.0803,0.0016,0.0000,0.0021,0.0641,0.0465,0.0652,0.0022,0.0000,0.0025,0.0193,0.0152,0.0277,0.0209,0.0123,0.0215,0.0000,0.0000,0.0000,0.0637,0.0495,0.0652,0.0022,0.0000,0.0025,0.8712,0.3203,0.8685,0.3453,0.5167,0.4897,0.2036,0.8705,0.3453
1.0400,0.5000,eval_signal_neg_20_0.5GeV,3,0.0652,0.0587,0.0656,0.0009,0.0004,0.0020,0.0663,0.0553,0.0689,0.0009,0.0000,0.0021,0.0217,0.0196,0.0453,0.0237,0.0151,0.0329,0.0000,0.0000,0.0000,0.0498,0.0445,0.0749,0.0009,0.0000,0.0021,0.0656,0.0652,0.0935,0.0009,0.0006,0.0018,0.0663,0.0490,0.0689,0.0009,0.0000,0.0022,0.0208,0.0193,0.0398,0.0231,0.0136,0.0285,0.0000,0.0000,0.0000,0.0543,0.0489,0.0615,0.0009,0.0000,0.0022,0.8759,0.3203,0.8732,0.3454,0.5950,0.5610,0.2039,0.8722,0.3454
1.0400,5.0000,eval_signal_neg_20_5GeV,3,1.2551,0.9485,2.5997,0.0003,0.0000,0.0010,1.2845,1.0325,2.6209,0.0003,0.0000,0.0009,18.1847,10.8346,23.4586,18.3260,10.9950,22.6336,0.0000,0.0000,0.0007,0.1502,0.1077,0.7782,0.0003,0.0000,0.0009,1.2551,0.9485,3.0048,0.0003,0.0000,0.0009,1.2845,1.0325,2.2958,0.0003,0.0000,0.0009,16.2052,10.4792,20.6411,17.3862,9.0583,19.3832,0.0000,0.0000,0.0006,0.1546,0.1403,0.6764,0.0003,0.0000,0.0009,0.9426,0.3238,0.9385,0.3482,0.9837,0.9785,0.2079,0.9036,0.3482
1.0800,0.0050,eval_signal_neg_16_low,3,1.0218,1.0208,1.2419,0.0490,0.0000,0.1413,1.0767,0.8520,1.1718,0.0541,0.0000,0.1399,0.0407,0.0206,0.0548,0.0403,0.0194,0.0414,0.0000,0.0000,0.0000,1.0795,1.0600,1.9473,0.0541,0.0000,0.1399,1.2419,1.0208,1.8097,0.0490,0.0000,0.1274,1.0767,0.7463,1.1718,0.0595,0.0000,0.1445,0.0368,0.0215,0.0488,0.0364,0.0187,0.0392,0.0000,0.0000,0.0000,1.4344,1.1623,1.4963,0.0595,0.0000,0.1445,0.9853,0.3630,0.9846,0.4071,0.5389,0.5318,0.3169,0.9844,0.4071
1.0800,0.0500,eval_signal_neg_16_0.05GeV,3,1.0374,1.0188,1.2537,0.0632,0.0000,0.1569,1.0919,0.8559,1.1782,0.0689,0.0000,0.1565,0.0340,0.0183,0.0555,0.0373,0.0190,0.0417,0.0000,0.0000,0.0000,1.1021,1.0697,1.9457,0.0689,0.0000,0.1565,1.2537,1.0374,1.8293,0.0632,0.0000,0.1415,1.0919,0.7495,1.1782,0.0753,0.0000,0.1625,0.0324,0.0187,0.0492,0.0360,0.0168,0.0367,0.0000,0.0000,0.0000,1.4529,1.1799,1.4982,0.0753,0.0000,0.1625,0.9855,0.3649,0.9848,0.4084,0.5369,0.5311,0.3222,0.9846,0.4084
1.0800,0.5000,eval_signal_neg_16_0.5GeV,3,1.1709,1.1484,1.4217,0.0585,0.0000,0.1454,1.2319,0.9578,1.3393,0.0644,0.0000,0.1429,0.0520,0.0299,0.0728,0.0513,0.0294,0.0580,0.0000,0.0000,0.0000,1.1463,1.1362,2.0339,0.0644,0.0000,0.1429,1.4217,1.1709,2.0695,0.0585,0.0003,0.1310,1.2319,0.8390,1.3393,0.0702,0.0000,0.1455,0.0469,0.0292,0.0641,0.0493,0.0253,0.0496,0.0000,0.0000,0.0000,1.5043,1.2454,1.5472,0.0702,0.0000,0.1455,0.9864,0.3651,0.9858,0.4084,0.5779,0.5687,0.3208,0.9849,0.4084
1.0800,5.0000,eval_signal_neg_16_5GeV,3,17.6801,16.6179,26.6284,0.0449,0.0004,0.1253,18.2197,16.0408,25.2092,0.0467,0.0003,0.1224,17.3443,8.4159,24.0742,17.4153,9.7134,23.4571,0.0000,0.0000,0.0004,3.5867,2.5538,9.9109,0.0467,0.0003,0.1224,17.6801,16.6179,24.2978,0.0449,0.0003,0.1130,18.2197,16.0408,22.0733,0.0509,0.0003,0.1274,15.4576,8.1402,21.1837,16.5232,8.0230,20.0890,0.0000,0.0000,0.0003,3.9322,3.3758,8.8962,0.0509,0.0003,0.1274,0.9973,0.3575,0.9973,0.4025,0.9876,0.9830,0.3020,0.9910,0.4025
1.1600,0.0050,eval_signal_neg_8_low,3,1.2773,0.6292,1.4904,7.0332,0.0000,11.4419,0.8791,0.6815,0.8822,6.9581,0.0000,10.5305,0.0603,0.0261,0.0926,0.0426,0.0410,0.2614,0.0000,0.0000,0.0000,1.0540,0.9903,2.0566,6.9581,0.0000,10.5305,1.4904,0.6292,2.3253,7.0332,0.0000,10.3136,0.8791,0.5974,0.8822,7.6619,0.0000,11.0297,0.0567,0.0255,0.0821,0.0395,0.0373,0.2252,0.0000,0.0000,0.0000,1.4295,1.1204,1.5680,7.6619,0.0000,11.0297,0.9840,0.5651,0.9819,0.5547,0.4601,0.5671,0.5323,0.9823,0.5547
1.1600,0.0500,eval_signal_neg_8_0.05GeV,3,1.2740,0.6222,1.4546,7.0095,0.0000,11.4038,0.8711,0.6851,0.8885,6.9120,0.0000,10.5076,0.0637,0.0283,0.1001,0.0461,0.0427,0.2637,0.0000,0.0000,0.0004,1.0524,1.0116,2.0472,6.9120,0.0000,10.5076,1.4546,0.6222,2.3371,7.0095,0.0000,10.2793,0.8711,0.5999,0.8885,7.6163,0.0000,11.0082,0.0609,0.0274,0.0893,0.0433,0.0414,0.2271,0.0000,0.0000,0.0006,1.4310,1.1272,1.5493,7.6163,0.0000,11.0082,0.9840,0.5667,0.9818,0.5555,0.4620,0.5688,0.5337,0.9822,0.5555
1.1600,0.5000,eval_signal_neg_8_0.5GeV,3,1.4446,0.6908,1.6982,7.0168,0.0000,11.4524,0.9858,0.7494,0.9963,6.9251,0.0000,10.5394,0.0920,0.0392,0.1170,0.0639,0.0623,0.3065,0.0000,0.0000,0.0000,1.1290,1.1268,2.1938,6.9251,0.0000,10.5394,1.6982,0.6908,2.6295,7.0168,0.0000,10.3231,0.9858,0.6565,0.9963,7.6189,0.0000,11.0420,0.0847,0.0389,0.1036,0.0604,0.0563,0.2637,0.0000,0.0000,0.0003,1.5187,1.2750,1.6598,7.6189,0.0000,11.0420,0.9848,0.5656,0.9827,0.5546,0.4870,0.5922,0.5337,0.9828,0.5546
1.1600,5.0000,eval_signal_neg_8_5GeV,3,13.6066,11.1629,21.8345,6.8473,0.0000,11.2061,13.3353,10.9263,18.7455,6.7719,0.0000,10.3196,14.2380,6.1763,17.6706,12.6373,8.9082,19.0202,0.0000,0.0000,0.0000,3.7080,2.5031,8.7036,6.7719,0.0000,10.3196,13.6066,11.1629,21.6053,6.8473,0.0000,10.1011,13.3353,10.9263,16.4170,7.4519,0.0000,10.8087,12.6915,5.9760,15.5499,11.9910,7.3700,16.2902,0.0000,0.0000,0.0000,3.9313,3.2436,7.9336,7.4519,0.0000,10.8087,0.9959,0.5609,0.9959,0.5493,0.9630,0.9654,0.5407,0.9888,0.5493
1.2400,0.0050,eval_signal_zero_low,3,0.8185,0.2667,0.9409,23.2794,0.0000,24.5166,0.4225,0.3745,0.4495,21.4956,0.0000,21.7585,0.3087,0.0727,0.3310,0.1936,0.1393,1.1876,0.0000,0.0000,0.0039,0.4034,0.3404,0.8280,21.4956,0.0000,21.7585,0.8185,0.2667,1.8726,22.0990,0.0000,23.2813,0.4225,0.3355,0.4495,23.0552,0.0000,23.8063,0.2766,0.0756,0.3437,0.1986,0.1512,1.0508,0.0000,0.0000,0.0040,0.4910,0.4880,0.5916,23.0552,0.0000,23.8063,0.9830,0.8548,0.9780,0.8567,0.4965,0.6507,0.2457,0.9787,0.8567
1.2400,0.0500,eval_signal_zero_0.05GeV,3,0.7995,0.2624,0.9276,23.3063,0.0000,24.4888,0.4127,0.3579,0.4492,21.5320,0.0000,21.7454,0.2942,0.0634,0.3200,0.1650,0.1390,1.1595,0.0003,0.0000,0.0025,0.4052,0.3365,0.8215,21.5320,0.0000,21.7454,0.7995,0.2624,1.8640,22.0739,0.0000,23.3079,0.4127,0.3191,0.4492,23.0328,0.0000,23.8546,0.2638,0.0647,0.3312,0.1771,0.1461,1.0262,0.0003,0.0000,0.0031,0.4863,0.4728,0.5787,23.0328,0.0000,23.8546,0.9831,0.8556,0.9781,0.8579,0.4955,0.6550,0.2447,0.9788,0.8579
1.2400,0.5000,eval_signal_zero_0.5GeV,3,0.9479,0.3016,1.0812,23.2317,0.0000,24.4721,0.4841,0.4269,0.5164,21.4466,0.0000,21.7178,0.3574,0.0817,0.4193,0.1983,0.1873,1.3312,0.0003,0.0000,0.0060,0.4728,0.3712,0.9324,21.4466,0.0000,21.7178,0.9479,0.3016,2.1607,22.0589,0.0000,23.2336,0.4841,0.3792,0.5164,23.0059,0.0000,23.7519,0.3198,0.0846,0.4387,0.2207,0.2002,1.1779,0.0003,0.0000,0.0053,0.5621,0.5231,0.6709,23.0059,0.0000,23.7519,0.9842,0.8548,0.9794,0.8566,0.5225,0.6657,0.2472,0.9795,0.8566
1.2400,5.0000,eval_signal_zero_5GeV,3,10.4229,4.8099,19.2200,23.1074,0.0000,24.4993,7.6141,6.3322,13.6604,21.3504,0.0000,21.7445,11.9443,4.3900,13.3488,8.5496,8.3367,20.3832,0.0000,0.0000,0.0032,1.9419,1.0821,7.2221,21.3504,0.0000,21.7445,10.4229,4.8099,18.9570,22.0834,0.0000,23.1077,7.6141,6.3322,12.0878,23.0432,0.0000,23.6532,10.8186,4.3160,11.7687,8.0698,7.3001,17.5260,0.0000,0.0000,0.0031,2.2933,1.5401,6.4039,23.0432,0.0000,23.6532,0.9948,0.8526,0.9932,0.8544,0.9482,0.9310,0.2477,0.9870,0.8544
