seed,stem,z_m,m_chi_GeV,SIC_T_raw,SICm_T_raw,epsB_T_raw,AUC_T_raw,SIC_T_I,SICm_T_I,epsB_T_I,AUC_T_I,SIC_T_S,SICm_T_S,epsB_T_S,AUC_T_S,SIC_Typ_I,SICm_Typ_I,epsB_Typ_I,AUC_Typ_I,SIC_Typ_II,SICm_Typ_II,epsB_Typ_II,AUC_Typ_II,SIC_Typ_tot,SICm_Typ_tot,epsB_Typ_tot,AUC_Typ_tot,SIC_V_I,SICm_V_I,epsB_V_I,AUC_V_I,SIC_V_II,SICm_V_II,epsB_V_II,AUC_V_II,SIC_M,SICm_M,epsB_M,AUC_M
001,eval_signal_zero_0.5GeV,1.24000,0.50000,0.94788,0.94788,0.00103,0.98417,24.47213,22.05888,0.00087,0.90707,0.48408,0.48408,0.00107,0.97936,21.71780,23.00589,0.00113,0.91714,0.08169,0.08462,0.00097,0.45465,0.19830,0.22073,0.00067,0.66566,0.00033,0.00030,0.00093,0.79221,0.47276,0.56212,0.00077,0.97989,21.71780,23.00589,0.00113,0.91714
001,eval_signal_neg_91_0.05GeV,0.33000,0.05000,0.00529,0.00529,0.00103,0.35138,0.02344,0.02113,0.00087,0.58240,0.00521,0.00521,0.00107,0.34863,0.01812,0.01739,0.00113,0.55275,0.01544,0.01524,0.00097,0.53843,0.01859,0.01581,0.00067,0.57008,0.03830,0.03528,0.00093,0.72698,0.00325,0.00322,0.00077,0.33957,0.01812,0.01739,0.00113,0.55275
001,eval_signal_neg_58_0.05GeV,0.66000,0.05000,0.00684,0.00684,0.00103,0.34623,0.03363,0.03031,0.00087,0.58340,0.00643,0.00643,0.00107,0.34351,0.02376,0.02150,0.00113,0.55354,0.01447,0.01431,0.00097,0.52164,0.01627,0.01486,0.00067,0.55485,0.04648,0.04281,0.00093,0.72808,0.00325,0.00351,0.00077,0.33701,0.02376,0.02150,0.00113,0.55354
001,eval_signal_neg_24_0.05GeV,1.00000,0.05000,0.00498,0.00498,0.00103,0.34111,0.03023,0.02725,0.00087,0.58344,0.00521,0.00521,0.00107,0.33856,0.02139,0.02087,0.00113,0.55363,0.01447,0.01400,0.00097,0.50906,0.01588,0.01360,0.00067,0.54337,0.03830,0.03528,0.00093,0.72847,0.00253,0.00263,0.00077,0.33388,0.02139,0.02087,0.00113,0.55363
001,eval_signal_neg_20_0.05GeV,1.04000,0.05000,0.06253,0.06253,0.00103,0.86888,0.00238,0.00214,0.00087,0.18827,0.06522,0.06522,0.00107,0.86842,0.00238,0.00253,0.00113,0.20152,0.01576,0.01524,0.00097,0.50031,0.01317,0.01233,0.00067,0.39070,0.00000,0.00000,0.00093,0.20359,0.04695,0.04948,0.00077,0.87095,0.00238,0.00253,0.00113,0.20152
001,eval_signal_neg_16_0.05GeV,1.08000,0.05000,1.25367,1.25367,0.00103,0.98565,0.15693,0.14146,0.00087,0.34741,1.17820,1.17820,0.00107,0.98490,0.15654,0.16254,0.00113,0.40843,0.01833,0.01867,0.00097,0.49514,0.01898,0.01676,0.00067,0.48868,0.00000,0.00000,0.00093,0.23662,1.06975,1.17986,0.00077,0.98491,0.15654,0.16254,0.00113,0.40843
001,eval_signal_neg_8_0.05GeV,1.16000,0.05000,1.45464,1.45464,0.00103,0.98450,11.40384,10.27928,0.00087,0.68149,0.87110,0.87110,0.00107,0.98180,10.50764,11.00820,0.00113,0.70350,0.02830,0.02738,0.00097,0.46198,0.04609,0.04143,0.00067,0.56881,0.00000,0.00000,0.00093,0.55101,1.01160,1.12716,0.00077,0.98217,10.50764,11.00820,0.00113,0.70350
001,eval_signal_zero_0.05GeV,1.24000,0.05000,0.79949,0.79949,0.00103,0.98307,24.48877,22.07388,0.00087,0.90864,0.41274,0.41274,0.00107,0.97800,21.74542,23.03277,0.00113,0.91867,0.06336,0.06471,0.00097,0.44145,0.16499,0.17709,0.00067,0.65495,0.00033,0.00030,0.00093,0.79291,0.40522,0.48629,0.00077,0.97879,21.74542,23.03277,0.00113,0.91867
001,eval_signal_neg_91_low,0.33000,0.00500,0.00498,0.00498,0.00103,0.34229,0.02717,0.02449,0.00087,0.58358,0.00551,0.00551,0.00107,0.33972,0.01842,0.01739,0.00113,0.55371,0.01415,0.01431,0.00097,0.50892,0.01704,0.01486,0.00067,0.54327,0.04255,0.03920,0.00093,0.72871,0.00253,0.00263,0.00077,0.33528,0.01842,0.01739,0.00113,0.55371
001,eval_signal_neg_58_low,0.66000,0.00500,0.00715,0.00715,0.00103,0.34290,0.02717,0.02449,0.00087,0.58216,0.00704,0.00704,0.00107,0.34037,0.01842,0.01613,0.00113,0.55241,0.01480,0.01493,0.00097,0.50707,0.01743,0.01550,0.00067,0.54095,0.04353,0.04010,0.00093,0.72679,0.00361,0.00351,0.00077,0.33606,0.01842,0.01613,0.00113,0.55241
