stem,z_m,m_chi_GeV,channel,target_1e-02_SIC,target_1e-02_eb,target_1e-02_es,target_2e-03_SIC,target_2e-03_eb,target_2e-03_es,target_1e-03_SIC,target_1e-03_eb,target_1e-03_es,target_5e-04_SIC,target_5e-04_eb,target_5e-04_es,target_2e-04_SIC,target_2e-04_eb,target_2e-04_es,target_1e-04_SIC,target_1e-04_eb,target_1e-04_es
zero_5GeV,1.24,5.0,raw,8.9559,0.01,0.89559,11.47202201758151,0.0021333333333333334,0.52987,10.434213931820642,0.0010666666666666667,0.34078,5.553387901767713,0.0005333333333333334,0.12825,0.026162950903902256,0.0002,0.00037,0.026162950903902256,0.0002,0.00037
zero_5GeV,1.24,5.0,L,8.110199999999999,0.01,0.81102,15.323712520645401,0.0021666666666666666,0.71328,22.49454590784175,0.001,0.71134,30.752129075683523,0.0005333333333333334,0.71019,2.247624597955213,0.0003,0.03893,3.3714368969328192,0.00013333333333333334,0.03893
zero_5GeV,1.24,5.0,S,8.16246376372226,0.010133333333333333,0.82167,7.635194741308497,0.002033333333333333,0.34429,6.424849005380242,0.0010333333333333334,0.20653,2.848303389739232,0.0005,0.06369,0.026162950903902256,0.0002,0.00037,0.026162950903902256,0.0002,0.00037
zero_5GeV,1.24,5.0,occ,1.9593309638905403,0.054233333333333335,0.45629,1.9593309638905403,0.054233333333333335,0.45629,10.561061333130437,0.0018666666666666666,0.45629,10.561061333130437,0.0018666666666666666,0.45629,21.91946258991696,0.0004333333333333333,0.45629,39.40848599921088,0.00013333333333333334,0.45505
zero_5GeV,1.24,5.0,comb,8.9827,0.01,0.89827,17.305288945868543,0.0022,0.81169,24.588606174405253,0.001,0.77756,2.5645595497493376,0.0006333333333333333,0.06454,0.02050609665440988,0.0002,0.00029,0.0,0.00013333333333333334,0.0
zero_5GeV,1.24,5.0,SUP,10.0,0.01,1.0,,,,31.622776601683796,0.001,1.0,,,,,,,,,
neg_8_5GeV,1.16,5.0,raw,9.333,0.01,0.9333,12.889922109927584,0.0021333333333333334,0.59536,13.395647030845504,0.0010666666666666667,0.4375,8.695328066697655,0.0005333333333333334,0.20081,0.03252691193458119,0.0002,0.00046,0.03252691193458119,0.0002,0.00046
neg_8_5GeV,1.16,5.0,L,3.4118999999999997,0.01,0.34119,7.141312358383436,0.0021666666666666666,0.33241,10.425396990043113,0.001,0.32968,14.190259253709918,0.0005333333333333334,0.32771,5.262547703663438,0.0003,0.09115,7.893821555495157,0.00013333333333333334,0.09115
neg_8_5GeV,1.16,5.0,S,9.057317824155403,0.010133333333333333,0.91175,10.837944819846278,0.002033333333333333,0.48871,11.099842025902893,0.0010333333333333334,0.35681,6.0897075299229275,0.0005,0.13617,0.03181980515339464,0.0002,0.00045,0.03181980515339464,0.0002,0.00045
neg_8_5GeV,1.16,5.0,occ,0.41029624493138384,0.054233333333333335,0.09555,0.41029624493138384,0.054233333333333335,0.09555,2.2115527633316825,0.0018666666666666666,0.09555,2.2115527633316825,0.0018666666666666666,0.09555,4.590073528822822,0.0004333333333333333,0.09555,8.271408631545173,0.00013333333333333334,0.09551
neg_8_5GeV,1.16,5.0,comb,8.4038,0.01,0.84038,11.44354845038739,0.0022,0.53675,10.691344541263275,0.001,0.33809,0.054438279875373294,0.0006333333333333333,0.00137,0.02050609665440988,0.0002,0.00029,0.0,0.00013333333333333334,0.0
neg_8_5GeV,1.16,5.0,SUP,10.0,0.01,1.0,,,,31.587991547421943,0.001,0.9989,,,,,,,,,
neg_91_5GeV,0.33,5.0,raw,9.1174,0.01,0.91174,19.09932425506201,0.0021333333333333334,0.88216,26.67463711269096,0.0010666666666666667,0.87119,36.84072067699002,0.0005333333333333334,0.8508,45.870724002352524,0.0002,0.64871,45.870724002352524,0.0002,0.64871
neg_91_5GeV,0.33,5.0,L,0.1117,0.01,0.01117,0.041248216744671336,0.0021666666666666666,0.00192,0.03921224298608791,0.001,0.00124,0.041569219381653054,0.0005333333333333334,0.00096,0.013279056191361393,0.0003,0.00023,0.019918584287042088,0.00013333333333333334,0.00023
neg_91_5GeV,0.33,5.0,S,9.032582182387213,0.010133333333333333,0.90926,19.472418875231167,0.002033333333333333,0.87806,27.044840845433697,0.0010333333333333334,0.86937,37.933551597497434,0.0005,0.84822,45.68334070533809,0.0002,0.64606,45.68334070533809,0.0002,0.64606
neg_91_5GeV,0.33,5.0,occ,0.000944690464520193,0.054233333333333335,0.00022,0.000944690464520193,0.054233333333333335,0.00022,0.005092010548749033,0.0018666666666666666,0.00022,0.005092010548749033,0.0018666666666666666,0.00022,0.01056845815113575,0.0004333333333333333,0.00022,0.019052558883257648,0.00013333333333333334,0.00022
neg_91_5GeV,0.33,5.0,comb,9.002699999999999,0.01,0.90027,18.584919645434915,0.0022,0.87171,25.66093452896835,0.001,0.81147,0.019073265941736632,0.0006333333333333333,0.00048,0.03181980515339464,0.0002,0.00045,0.0,0.00013333333333333334,0.0
neg_91_5GeV,0.33,5.0,SUP,9.982999999999999,0.01,0.9983,,,,31.52316485538849,0.001,0.99685,,,,,,,,,
