stem,z_m,m_chi_GeV,A_SIC_raw,A_SIC_L,A_SIC_S,A_SIC_occ,A_SIC_comb,B_SIC_raw,B_SIC_L,B_SIC_S,B_SIC_occ,B_SIC_comb,C_SIC_raw,C_SIC_L,C_SIC_S,C_SIC_occ,C_SIC_comb,D_SIC_raw,D_SIC_L,D_SIC_S,D_SIC_occ,D_SIC_comb
eval_signal_neg_91_5GeV,0.33,5.0,29.001804269469435,0.005751086853804244,30.100475014939548,0.0,25.41786363640166,26.67463711269096,0.03921224298608791,27.044840845433697,0.019052558883257648,26.099614759344764,26.67463711269096,0.03921224298608791,27.044840845433697,0.019052558883257648,26.099614759344764,28.020411576760157,0.04133333333333333,27.49189329420584,0.019052558883257648,26.481776075195075
eval_signal_neg_58_5GeV,0.66,5.0,21.908201878256953,0.002190890230020665,22.539735757102388,0.0,16.956959978418226,21.108171672216184,0.028144271175498576,21.2452737119759,0.0069282032302755096,17.02729127829386,21.108171672216184,0.028144271175498576,21.2452737119759,0.0069282032302755096,17.02729127829386,22.173431445515273,0.029666666666666668,21.596775280119946,0.0069282032302755096,19.853788232817145
eval_signal_neg_24_5GeV,1.0,5.0,0.0414413394496922,0.00438178046004133,0.0484368145112785,0.0,0.017731873979890272,0.0661362230551458,0.034785054261852175,0.07466052202059062,0.013856406460551019,0.03891768501461195,0.0661362230551458,0.034785054261852175,0.07466052202059062,0.013856406460551019,0.03891768501461195,0.07172432858064848,0.03666666666666667,0.07874071373819265,0.013856406460551019,0.06688338431011244
eval_signal_neg_20_5GeV,1.04,5.0,0.5373786804050252,0.0,0.6074047250392444,0.0,0.08865936989945138,0.9347865230896303,0.0009486832980505139,1.0496025054061364,0.0,0.07622720122696722,0.9347865230896303,0.0009486832980505139,1.0496025054061364,0.0,0.07622720122696722,0.9832344056997416,0.001,1.0685336213708954,0.0,0.4759608278812652
eval_signal_neg_16_5GeV,1.08,5.0,9.247872676375986,0.0,9.310474987883271,0.0,1.089421450483785,16.356161571216823,0.11668804566021321,16.297458700569674,0.04416729559300637,0.9465681570082891,16.356161571216823,0.11668804566021321,16.297458700569674,0.04416729559300637,0.9465681570082891,17.18199711707095,0.12366666666666667,16.56717266162214,0.04416729559300637,7.467918715109577
eval_signal_neg_8_5GeV,1.16,5.0,7.7077494545325065,0.0,5.69468446228586,0.0,0.9752530688939651,13.395647030845504,10.425396990043113,11.099842025902893,8.271408631545173,10.874115807099303,13.395647030845504,10.425396990043113,11.099842025902893,8.271408631545173,10.874115807099303,14.087880341529075,11.043,11.302296585207806,8.27487273316031,12.569098882166433
eval_signal_zero_5GeV,1.24,5.0,5.534117232085126,0.0,3.038791392149188,0.0,0.5083137207568545,10.434213931820642,22.49454590784175,6.424849005380242,39.40848599921088,25.008954677654273,10.434213931820642,22.49454590784175,6.424849005380242,39.40848599921088,25.008954677654273,11.552119774130723,26.866000000000003,7.074331353562681,39.51587314928015,25.446794588684636
eval_signal_neg_91_0.5GeV,0.33,0.5,0.037704825237015044,0.003286335345030997,0.04419417382415922,0.0,0.01555427542095638,0.07348469228349533,0.02434953798329652,0.08150440320581143,0.009526279441628824,0.03119847476377983,0.07348469228349533,0.02434953798329652,0.08150440320581143,0.009526279441628824,0.03119847476377983,0.07847863755012659,0.025666666666666667,0.08443281352649573,0.009526279441628824,0.055373220498604714
eval_signal_neg_58_0.5GeV,0.66,0.5,0.012228591968761636,0.0019170289512680813,0.013788582233137676,0.0,0.007466052202059063,0.017146428199482245,0.02434953798329652,0.020220558047243292,0.0069282032302755096,0.0250874333152044,0.017146428199482245,0.02434953798329652,0.020220558047243292,0.0069282032302755096,0.0250874333152044,0.01897639186662897,0.025666666666666667,0.021819715855161816,0.0069282032302755096,0.030486379825074503
eval_signal_neg_24_0.5GeV,1.0,0.5,0.00815239464584109,0.0027386127875258306,0.00848528137423857,0.0,0.007154966693639935,0.009185586535436916,0.02308462691922917,0.009643650760992956,0.008660254037844387,0.01897639186662897,0.009185586535436916,0.02308462691922917,0.009643650760992956,0.008660254037844387,0.01897639186662897,0.009970646573991493,0.024333333333333332,0.010119288512538816,0.008660254037844387,0.02333141313143457
eval_signal_neg_20_0.5GeV,1.04,0.5,0.03702545901652828,0.0,0.040658639918226484,0.0,0.012754505845184231,0.06521766440160211,0.0018973665961010279,0.0699942393943037,0.0008660254037844387,0.014151885459858893,0.06521766440160211,0.0018973665961010279,0.0699942393943037,0.0008660254037844387,0.014151885459858893,0.06947289225748911,0.002,0.07209993065183905,0.0008660254037844387,0.03390832041768491
eval_signal_neg_16_0.5GeV,1.08,0.5,0.6141470633200287,0.0,0.6222539674441618,0.0,0.12692288743500407,1.3992710155648902,0.13534548385520664,1.3609990993336831,0.05022947341949744,0.24862289682888464,1.3992710155648902,0.13534548385520664,1.3609990993336831,0.05022947341949744,0.24862289682888464,1.4711528203044222,0.14333333333333334,1.3844451596217164,0.05022947341949744,0.62403752988877
eval_signal_neg_8_0.5GeV,1.16,0.5,0.6124486477688119,0.0,0.42850670939904784,0.0,0.10172496125305472,1.6723891218852147,10.654662120405321,1.0125833299042604,8.486182931683713,10.895022001528638,1.6723891218852147,10.654662120405321,1.0125833299042604,8.486182931683713,10.895022001528638,1.75901503590837,11.292333333333334,1.0305862894488749,8.487048957087499,10.763558591301814
eval_signal_zero_0.5GeV,1.24,0.5,0.3671974421730924,0.0,0.2315774708385943,0.0,0.06035058863331076,0.9485649028927856,22.44173587091694,0.4943148728779938,39.65357118848188,24.98418887809952,0.9485649028927856,22.44173587091694,0.4943148728779938,39.65357118848188,24.98418887809952,1.0797245338351433,26.99266666666667,0.556244640423618,39.747101932090594,25.266053908293124
eval_signal_neg_91_0.05GeV,0.33,0.05,0.004415880433163923,0.0024647515087732478,0.004596194077712558,0.0,0.005599539151544298,0.004898979485566356,0.021819715855161816,0.004977368134706042,0.007794228634059948,0.020906194429337,0.004898979485566356,0.021819715855161816,0.004977368134706042,0.007794228634059948,0.020906194429337,0.005789407688124092,0.023,0.005692099788303083,0.007794228634059948,0.02302032762301544
eval_signal_neg_58_0.05GeV,0.66,0.05,0.005434929763894061,0.0027386127875258306,0.005656854249492381,0.0,0.005599539151544298,0.006429910574805842,0.031306548835666956,0.00653279567680168,0.008660254037844387,0.026373968357009753,0.006429910574805842,0.031306548835666956,0.00653279567680168,0.008660254037844387,0.026373968357009753,0.007719210250832123,0.033,0.007589466384404111,0.008660254037844387,0.029242037791397994
eval_signal_neg_24_0.05GeV,1.0,0.05,0.005434929763894061,0.002190890230020665,0.005656854249492381,0.0,0.005599539151544298,0.005205165703414253,0.028144271175498576,0.00528845364312517,0.0069282032302755096,0.026052334596558414,0.005205165703414253,0.028144271175498576,0.00528845364312517,0.0069282032302755096,0.026052334596558414,0.006111041448575431,0.029666666666666668,0.0060083275543199215,0.0069282032302755096,0.02893095228297887
eval_signal_neg_20_0.05GeV,1.04,0.05,0.03736514212677167,0.0,0.04207285348059958,0.0,0.014621018895698997,0.06215580222312314,0.0022135943621178654,0.06688338431011244,0.0017320508075688774,0.017046589303920938,0.06215580222312314,0.0022135943621178654,0.06688338431011244,0.0017320508075688774,0.017046589303920938,0.0659349208925244,0.002333333333333333,0.06862142522565384,0.0017320508075688774,0.03639700448503793
eval_signal_neg_16_0.05GeV,1.08,0.05,0.5360199479640516,0.0,0.5441186681230483,0.0,0.12194551930029801,1.2339304579270258,0.14609722789977914,1.197057036396803,0.05802370205355739,0.25891517716332746,1.2339304579270258,0.14609722789977914,1.197057036396803,0.05802370205355739,0.25891517716332746,1.296184054618894,0.15433333333333332,1.2168444436327925,0.05802370205355739,0.5723973354911948
eval_signal_neg_8_0.05GeV,1.16,0.05,0.5557215683581676,0.0,0.3832518754031088,0.0,0.09861410616886346,1.4320329408746153,10.611022688694998,0.8847271859439989,8.322504130368456,10.84034426225191,1.4320329408746153,10.611022688694998,0.8847271859439989,8.322504130368456,10.84034426225191,1.5068541677145209,11.249,0.9015653609140051,8.32337015577224,10.717517936055785
eval_signal_zero_0.05GeV,1.24,0.05,0.31760370807755917,0.0,0.21177848096537097,0.0,0.05661756253228122,0.8000645872365555,22.44869288176931,0.4180989233153075,39.8414987011031,24.987083581943583,0.8000645872365555,22.44869288176931,0.4180989233153075,39.8414987011031,24.987083581943583,0.8922120514920129,27.007,0.4654872715767855,39.93156534309668,25.278808414138307
eval_signal_neg_91_low,0.33,0.005,0.004755563543407302,0.003286335345030997,0.005303300858899106,0.0,0.00653279567680168,0.006123724356957945,0.02529822128134704,0.005910624659963425,0.009526279441628824,0.02283599699204503,0.006123724356957945,0.02529822128134704,0.005910624659963425,0.009526279441628824,0.02283599699204503,0.0064326752090267695,0.02666666666666667,0.007273238618387273,0.009526279441628824,0.02488684067353021
eval_signal_neg_58_low,0.66,0.005,0.005774612874137439,0.0013693063937629153,0.006010407640085654,0.0,0.004666282626286914,0.006736096792653739,0.02529822128134704,0.006843881185220808,0.002598076211353316,0.023800898273399044,0.006736096792653739,0.02529822128134704,0.006843881185220808,0.002598076211353316,0.023800898273399044,0.0083624777717348,0.02666666666666667,0.008221921916437787,0.002598076211353316,0.02582009719878759
eval_signal_neg_24_low,1.0,0.005,0.00815239464584109,0.003286335345030997,0.00848528137423857,0.0,0.006221710168382553,0.008573214099741122,0.02466576574931336,0.008710394235735571,0.010392304845413263,0.02315763075249637,0.008573214099741122,0.02466576574931336,0.008710394235735571,0.010392304845413263,0.02315763075249637,0.009970646573991493,0.026,0.009803060746521977,0.010392304845413263,0.027997695757721482
eval_signal_neg_20_low,1.04,0.005,0.03906355767798855,0.0,0.0431335136523794,0.0,0.01555427542095638,0.05786919517325258,0.0022135943621178654,0.06315035820908291,0.0,0.017368223064372277,0.05786919517325258,0.0022135943621178654,0.06315035820908291,0.0,0.017368223064372277,0.061753682006656985,0.002333333333333333,0.06514291979946862,0.0,0.03701917550187619
eval_signal_neg_16_low,1.08,0.005,0.5628549136732787,0.0,0.5709887258081372,0.0,0.1306559135360336,1.2226015678666535,0.13123452289698775,1.1905242407200014,0.038105117766515297,0.2492661643497873,1.2226015678666535,0.13123452289698775,1.1905242407200014,0.038105117766515297,0.2492661643497873,1.284605239242646,0.13866666666666666,1.2105198883124557,0.038105117766515297,0.5783079601511582
eval_signal_neg_8_low,1.16,0.005,0.5455310750508663,0.0,0.3846660889654819,0.0,0.08928154091628963,1.4678567283628194,10.64580774295685,0.8931264946713153,8.480986779261007,10.883764819912843,1.4678567283628194,10.64580774295685,0.8931264946713153,8.480986779261007,10.883764819912843,1.5425555151246193,11.284666666666668,0.9094710550644259,8.483584855472362,10.752048427490307
eval_signal_zero_low,1.24,0.005,0.32609578583364357,0.0,0.21460690809011718,0.0,0.06501687125959767,0.8138429670397108,22.471145053156505,0.42992017263523435,39.59901158804345,25.018282056707363,0.8138429670397108,22.471145053156505,0.42992017263523435,39.59901158804345,25.018282056707363,0.916977851046766,27.030333333333335,0.4756065600893243,39.685614128421896,25.305561767862354
