stem,mode,AUC,SIC_at_1e-2,SIC_at_1e-3,eps_B_at_1e-3,eps_S_at_1e-3
neg_91_low,full,0.9817171075,3.7554999999999996,1.6538712162680624,0.001,0.0523
neg_20_0.5GeV,full,0.99468644,8.5045,6.354596958108359,0.001,0.20095
neg_24_5GeV,full,0.99938574,9.913499999999999,30.857505407923046,0.001,0.9758
