stem,z_m,m_chi_GeV,cons_SIC_raw,cons_SIC_L,cons_SIC_S,cons_SIC_occ,cons_SIC_comb,rand_SIC_raw,rand_SIC_L,rand_SIC_S,rand_SIC_occ,rand_SIC_comb,dom_cons,dom_rand,flipped
eval_signal_neg_91_5GeV,0.33,5.0,26.67463711269096,0.03921224298608791,27.044840845433697,0.019052558883257648,26.099614759344764,26.26736682827019,0.03921224298608791,26.61921740726049,0.03498736035506801,25.51509602354867,S,S,0
eval_signal_neg_58_5GeV,0.66,5.0,21.108171672216184,0.028144271175498576,21.2452737119759,0.0069282032302755096,17.02729127829386,20.786192095191023,0.028460498941515415,20.911600120357836,0.027854015039957054,18.834810673083737,S,S,0
eval_signal_neg_24_5GeV,1.0,5.0,0.0661362230551458,0.034785054261852175,0.07466052202059062,0.013856406460551019,0.03891768501461195,0.06512645042879694,0.034785054261852175,0.07348469228349533,0.027854015039957054,0.07236272269866326,S,S,0
eval_signal_neg_20_5GeV,1.04,5.0,0.9347865230896303,0.0009486832980505139,1.0496025054061364,0.0,0.07622720122696722,0.9208156463404902,0.0009486832980505139,1.033684671454501,0.022079402165819616,0.41487961013900276,S,S,0
eval_signal_neg_16_5GeV,1.08,5.0,16.356161571216823,0.11668804566021321,16.297458700569674,0.04416729559300637,0.9465681570082891,16.10975114078991,0.11668804566021321,16.050281539586774,0.03906355767798855,6.457166955477385,raw,raw,0
eval_signal_neg_8_5GeV,1.16,5.0,13.395647030845504,10.425396990043113,11.099842025902893,8.271408631545173,10.874115807099303,13.195342484101246,10.426029445575146,10.93390983934841,3.2660531049900867,11.90728602006504,raw,raw,0
eval_signal_zero_5GeV,1.24,5.0,10.434213931820642,22.49454590784175,6.424849005380242,39.40848599921088,25.008954677654273,10.280632316068006,22.496127046671834,6.332543357530211,15.478340284460039,23.632157676660533,occ,comb,1
eval_signal_neg_91_0.5GeV,0.33,0.5,0.07348469228349533,0.02434953798329652,0.08150440320581143,0.009526279441628824,0.03119847476377983,0.07236272269866326,0.02466576574931336,0.08022078907614907,0.0319302123628776,0.060905291604708256,S,S,0
eval_signal_neg_58_0.5GeV,0.66,0.5,0.017146428199482245,0.02434953798329652,0.020220558047243292,0.0069282032302755096,0.0250874333152044,0.016884635296354762,0.02466576574931336,0.01990210416011332,0.03396831102433787,0.04371914496377572,comb,comb,0
eval_signal_neg_24_0.5GeV,1.0,0.5,0.009185586535436916,0.02308462691922917,0.009643650760992956,0.008660254037844387,0.01897639186662897,0.009045340337332907,0.02308462691922917,0.009491772753284814,0.027854015039957054,0.03165869118066518,L,comb,1
eval_signal_neg_20_0.5GeV,1.04,0.5,0.06521766440160211,0.0018973665961010279,0.0699942393943037,0.0008660254037844387,0.014151885459858893,0.06422191639506365,0.0018973665961010279,0.06889189901577687,0.02411750082727989,0.0397994974842648,S,S,0
eval_signal_neg_16_0.5GeV,1.08,0.5,1.3992710155648902,0.13534548385520664,1.3609990993336831,0.05022947341949744,0.24862289682888464,1.3782083560649576,0.13534548385520664,1.3417080066094855,0.042800071890665724,0.5644292370495735,raw,raw,0
eval_signal_neg_8_0.5GeV,1.16,0.5,1.6723891218852147,10.654662120405321,1.0125833299042604,8.486182931683713,10.895022001528638,1.6471564754283226,10.655294575937356,0.9975546977484491,3.357088178535312,10.38947791146058,comb,L,1
eval_signal_zero_0.5GeV,1.24,0.5,0.9485649028927856,22.44173587091694,0.4943148728779938,39.65357118848188,24.98418887809952,0.9358912135693783,22.442052098682954,0.488367017467396,15.570394407335995,23.43436623461752,occ,comb,1
eval_signal_neg_91_0.05GeV,0.33,0.05,0.004898979485566356,0.021819715855161816,0.004977368134706042,0.007794228634059948,0.020906194429337,0.004824181513244218,0.021819715855161816,0.004898979485566356,0.031590529252634225,0.033467759248131765,L,comb,1
eval_signal_neg_58_0.05GeV,0.66,0.05,0.006429910574805842,0.031306548835666956,0.00653279567680168,0.008660254037844387,0.026373968357009753,0.006331738236133037,0.031306548835666956,0.006429910574805842,0.025815916378496784,0.034070781937287284,L,comb,1
eval_signal_neg_24_0.05GeV,1.0,0.05,0.005205165703414253,0.028144271175498576,0.00528845364312517,0.0069282032302755096,0.026052334596558414,0.005125692857821982,0.029092954473549093,0.005205165703414253,0.025476233268253407,0.03437229328186505,L,comb,1
eval_signal_neg_20_0.05GeV,1.04,0.05,0.06215580222312314,0.0022135943621178654,0.06688338431011244,0.0017320508075688774,0.017046589303920938,0.06120680294928602,0.0022135943621178654,0.0661362230551458,0.021400035945332862,0.03949798613968703,S,S,0
eval_signal_neg_16_0.05GeV,1.08,0.05,1.2339304579270258,0.14609722789977914,1.197057036396803,0.05802370205355739,0.25891517716332746,1.215693741337543,0.14609722789977914,1.1797354973679481,0.04823500165455978,0.5219161374641088,raw,raw,0
eval_signal_neg_8_0.05GeV,1.16,0.05,1.4320329408746153,10.611022688694998,0.8847271859439989,8.322504130368456,10.84034426225191,1.410771581279356,10.611971371993048,0.8717121622129633,3.290849972037853,10.338522494226936,comb,L,1
eval_signal_zero_0.05GeV,1.24,0.05,0.8000645872365555,22.448060426237276,0.4180989233153075,39.8414987011031,24.98676194818313,0.7896582114491629,22.449325337301346,0.41365758031250915,15.644785008479294,23.438587393441612,occ,comb,1
eval_signal_neg_91_low,0.33,0.005,0.006123724356957945,0.02529822128134704,0.005910624659963425,0.009526279441628824,0.02283599699204503,0.006030226891555273,0.025614449047363874,0.005817538139110048,0.02921274748093057,0.03437229328186505,L,comb,1
eval_signal_neg_58_low,0.66,0.005,0.006736096792653739,0.02529822128134704,0.006843881185220808,0.002598076211353316,0.023800898273399044,0.0066332495807108,0.025930676813380713,0.006736096792653739,0.025815916378496784,0.03467380462644282,L,comb,1
eval_signal_neg_24_low,1.0,0.005,0.008573214099741122,0.02466576574931336,0.008710394235735571,0.010392304845413263,0.02315763075249637,0.008442317648177381,0.0249819935153302,0.008573214099741122,0.025815916378496784,0.034070781937287284,L,comb,1
eval_signal_neg_20_low,1.04,0.005,0.05786919517325258,0.0022135943621178654,0.06315035820908291,0.0,0.017368223064372277,0.05698564412519733,0.0022135943621178654,0.06215580222312314,0.025815916378496784,0.04341763361919797,S,S,0
eval_signal_neg_16_low,1.08,0.005,1.2226015678666535,0.13123452289698775,1.1905242407200014,0.038105117766515297,0.2492661643497873,1.2048393329327436,0.13123452289698775,1.1748365178823816,0.040422290118962076,0.530659966456864,raw,raw,0
eval_signal_neg_8_low,1.16,0.005,1.4678567283628194,10.64580774295685,0.8931264946713153,8.480986779261007,10.883764819912843,1.4460484085949543,10.6467564262549,0.8793668176591608,3.346558002117767,10.372291764819646,comb,L,1
eval_signal_zero_low,1.24,0.005,0.813536780821863,22.47051259762447,0.42992017263523435,39.59901158804345,25.018282056707363,0.8020201765768512,22.471145053156505,0.42468028415503345,15.554089618044312,23.46813550521023,occ,comb,1
