stem,z_m,m_chi_GeV,dom_42,labelflip_rate_pct,mean_raw,mean_L,mean_S,mean_occ,mean_comb,std_raw,std_L,std_S,std_occ,std_comb,relstd_raw_pct,relstd_L_pct,relstd_S_pct,relstd_occ_pct,relstd_comb_pct,sic42_raw,sic42_L,sic42_S,sic42_occ,sic42_comb
eval_signal_neg_91_5GeV,0.33,5.0,S,85.0,28.857289440455464,0.04172638441775322,28.698189748039862,0.023749143343553922,35.952492653309434,2.4361075636047023,0.009363997086251526,2.748744987822168,0.006945371872501053,13.703369097080182,8.441914021867511,22.4414293663734,9.578112807655097,29.244725891918076,38.11521284274231,26.67463711269096,0.03921224298608791,27.044840845433697,0.019052558883257648,26.099614759344764
eval_signal_neg_58_5GeV,0.66,5.0,S,75.0,22.23166094496106,0.03174524480635779,21.851878662958846,0.008636052124928698,20.689851269313134,1.886701497847063,0.009560708413092076,2.0929855912111623,0.0025255897718185656,9.93091670226617,8.486552140741852,30.116978058954203,9.578057902906927,29.244725891918094,47.99897579252081,21.108171672216184,0.028144271175498576,21.2452737119759,0.0069282032302755096,17.02729127829386
eval_signal_neg_24_5GeV,1.0,5.0,S,55.00000000000001,0.05195954701161089,0.036807997098071324,0.05622894619358143,0.017272104249857395,0.040951193713204305,0.009787946664252067,0.010457771955186886,0.01166906259413637,0.005051179543637131,0.02607172574770918,18.8376289386527,28.41168436120871,20.752767718539246,29.244725891918094,63.66536206563036,0.0661362230551458,0.034785054261852175,0.07466052202059062,0.013856406460551019,0.03891768501461195
eval_signal_neg_20_5GeV,1.04,5.0,S,50.0,0.7100772493835402,0.0009671735431251794,0.7474549763925135,0.0,0.2653591144154437,0.15932626804993125,0.00015555389414378726,0.19420658506011937,0.0,0.30307654036659315,22.437878158785082,16.083348769151993,25.982379032036174,0.0,114.21372920777064,0.9347865230896303,0.0009486832980505139,1.0496025054061364,0.0,0.07622720122696722
eval_signal_neg_16_5GeV,1.08,5.0,raw,25.0,12.46607178088183,0.12116910489289723,11.640824326780244,0.05505483229642044,4.237640655757775,2.8559110849016536,0.018179857321368113,3.145068160173575,0.01610063479534335,4.981557791152266,22.909470883053356,15.003706875145689,27.017572569480354,29.244725891918083,117.55498391265702,16.356161571216823,0.11668804566021321,16.297458700569674,0.04416729559300637,0.9465681570082891
eval_signal_neg_8_5GeV,1.16,5.0,raw,80.0,10.25852953700776,10.996162505842683,7.432226445753024,10.310366730649244,10.813743466510129,2.2983418543218064,1.77555667029022,2.2644120675539403,3.0152384888298887,7.401383637033366,22.404203702202274,16.14705738794601,30.46747948386162,29.244725891918094,68.44423173117849,13.395647030845504,10.425396990043113,11.099842025902893,8.271408631545173,10.874115807099303
eval_signal_zero_5GeV,1.24,5.0,occ,5.0,7.710148903046056,23.852996803125095,4.158790472601294,49.12294399311004,21.18490988155733,1.9109699337495696,4.0173702904812965,1.4058114279057725,14.365870320825476,16.326667182264536,24.78512357906085,16.842203617597274,33.80337233066824,29.244725891918094,77.0674374993581,10.434213931820642,22.49454590784175,6.424849005380242,39.40848599921088,25.008954677654273
eval_signal_neg_91_0.5GeV,0.33,0.5,S,50.0,0.05119429925121425,0.026261409170592005,0.05504902648925279,0.011874571671776961,0.034235758378273154,0.013301305239066108,0.006591180771555385,0.015718550723289832,0.0034726859362505264,0.023301165442395303,25.982004702897893,25.09835145836845,28.553730602953642,29.244725891918076,68.06090049164149,0.07348469228349533,0.02434953798329652,0.08150440320581143,0.009526279441628824,0.03119847476377983
eval_signal_neg_58_0.5GeV,0.66,0.5,comb,80.0,0.014002649667447364,0.026066193803878833,0.014812043612916576,0.008636052124928698,0.018379996036480304,0.0021711995290413064,0.007357648643702364,0.0029011262238400133,0.0025255897718185656,0.010840521627621618,15.505633437997087,28.226785617651217,19.58626574195433,29.244725891918094,58.9799998112379,0.017146428199482245,0.02434953798329652,0.020220558047243292,0.0069282032302755096,0.0250874333152044
eval_signal_neg_24_0.5GeV,1.0,0.5,L,25.0,0.00854495669548563,0.024615216466079726,0.008336276220274517,0.010795065156160874,0.014283682612793527,0.0009974311725787024,0.009161224008927726,0.0010945701004155808,0.0031569872147732066,0.0077634578547320955,11.6727469561742,37.21772677299865,13.130204320167502,29.244725891918087,54.35193475790736,0.009185586535436916,0.02308462691922917,0.009643650760992956,0.008660254037844387,0.01897639186662897
eval_signal_neg_20_0.5GeV,1.04,0.5,S,55.00000000000001,0.047447598417918915,0.0019580091478671466,0.04912514194040819,0.0010795065156160872,0.021444744198019013,0.011703212968150531,0.000306240161855303,0.012814581983974133,0.0003156987214773207,0.01566906449876386,24.66555391290517,15.640384631955856,26.08558770073175,29.244725891918094,73.06715507574724,0.06521766440160211,0.0018973665961010279,0.0699942393943037,0.0008660254037844387,0.014151885459858893
eval_signal_neg_16_0.5GeV,1.08,0.5,raw,25.0,0.9133681291902802,0.14182918281334975,0.841865074980368,0.06261137790573305,0.4054355616605999,0.2899942683711976,0.02169539003210198,0.28472567315985403,0.018310525845684596,0.34728371062267316,31.74998766688778,15.296844839509212,33.820820179111685,29.244725891918087,85.6569436583841,1.3992710155648902,0.13534548385520664,1.3609990993336831,0.05022947341949744,0.24862289682888464
