stem,z_m,m_chi_GeV,channel,n_seeds,target_1e-02_SIC_mean,target_1e-02_SIC_std,target_1e-02_SIC_n,target_1e-02_eb_mean,target_1e-02_eb_std,target_1e-02_eb_n,target_1e-02_es_mean,target_1e-02_es_std,target_1e-02_es_n,target_2e-03_SIC_mean,target_2e-03_SIC_std,target_2e-03_SIC_n,target_2e-03_eb_mean,target_2e-03_eb_std,target_2e-03_eb_n,target_2e-03_es_mean,target_2e-03_es_std,target_2e-03_es_n,target_1e-03_SIC_mean,target_1e-03_SIC_std,target_1e-03_SIC_n,target_1e-03_eb_mean,target_1e-03_eb_std,target_1e-03_eb_n,target_1e-03_es_mean,target_1e-03_es_std,target_1e-03_es_n,target_5e-04_SIC_mean,target_5e-04_SIC_std,target_5e-04_SIC_n,target_5e-04_eb_mean,target_5e-04_eb_std,target_5e-04_eb_n,target_5e-04_es_mean,target_5e-04_es_std,target_5e-04_es_n,target_2e-04_SIC_mean,target_2e-04_SIC_std,target_2e-04_SIC_n,target_2e-04_eb_mean,target_2e-04_eb_std,target_2e-04_eb_n,target_2e-04_es_mean,target_2e-04_es_std,target_2e-04_es_n,target_1e-04_SIC_mean,target_1e-04_SIC_std,target_1e-04_SIC_n,target_1e-04_eb_mean,target_1e-04_eb_std,target_1e-04_eb_n,target_1e-04_es_mean,target_1e-04_es_std,target_1e-04_es_n
neg_8_5GeV,1.16,5.0,L,3,1.8723904299756933,1.413506641611964,3,0.010044444444444444,3.1426968052735256e-05,3,0.18748333333333334,0.14140808659887721,3,4.108998515453614,3.0882860456894208,3,0.002022222222222222,3.142696805273546e-05,3,0.18376,0.13811235064251132,3,5.649454381454908,4.209834551403806,3,0.0010222222222222223,3.142696805273546e-05,3,0.18214333333333335,0.13685840525480666,3,7.6868245975440415,5.7363215440377715,3,0.0005333333333333334,2.7216552697590882e-05,3,0.18078333333333332,0.13597325774659597,3,5.855871330300643,5.041011061138282,3,0.0002777777777777778,3.142696805273543e-05,3,0.10142666666666666,0.08731287279408205,3,4.289712500078919,3.2588999933515397,3,0.00014444444444444444,1.5713484026367716e-05,3,0.04953333333333333,0.037630535768471626,3
neg_8_5GeV,1.16,5.0,S,3,9.279664172765214,0.17281079864285073,3,0.010077777777777778,8.748897637790928e-05,3,0.9315,0.014398932830826976,3,14.444305115107628,2.6106281199116474,3,0.002011111111111111,1.5713484026367628e-05,3,0.6480933333333333,0.11898754958211198,3,13.559507382023032,2.2471720004047797,3,0.0010333333333333334,2.7216552697590882e-05,3,0.43489,0.06640451189490064,3,7.427415306323227,1.4962436287456975,3,0.0005222222222222222,1.571348402636773e-05,3,0.17004,0.03592153393161266,3,0.0696259736952482,0.03303475768883487,3,0.0002111111111111111,1.5713484026367716e-05,3,0.0010066666666666666,0.00046060346889223,3,0.046105279441271095,0.016520286750204154,3,0.00016666666666666666,2.721655269759087e-05,3,0.00059,0.00021228911104120875,3
neg_8_5GeV,1.16,5.0,SUP,3,10.0,0.0,3,0.01,0.0,3,1.0,0.0,3,,,,,,,,,,31.587991547421943,0.0,3,0.001,0.0,3,0.9989,0.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg_8_5GeV,1.16,5.0,comb,3,8.454066798501152,0.44966686443650455,3,0.010022222222222222,1.5713484026367628e-05,3,0.8463766666666667,0.045593731537959876,3,12.405653141313069,1.0528731810321839,3,0.0021,8.164965809277264e-05,3,0.5675566666666667,0.03815053196075897,3,10.105982306287697,2.2072388293974887,3,0.0010666666666666667,0.0,3,0.33006,0.07208811829975866,3,0.0387305334110834,0.014535443406593613,3,0.0005222222222222222,3.142696805273546e-05,3,0.0008866666666666667,0.00033209770985191824,3,0.008720983634634086,0.007881060278357924,3,0.0002,0.0,3,0.00012333333333333334,0.0001114550233153366,3,0.0023570226039551583,0.0033333333333333335,3,0.00017777777777777779,3.1426968052735446e-05,3,3.3333333333333335e-05,4.714045207910317e-05,3
neg_8_5GeV,1.16,5.0,occ,3,0.41029624493138384,0.0,3,0.054233333333333335,0.0,3,0.09555,0.0,3,0.41029624493138384,0.0,3,0.054233333333333335,0.0,3,0.09555,0.0,3,2.1920673371332176,0.0,3,0.0019,0.0,3,0.09555,0.0,3,2.1920673371332176,0.0,3,0.0019,0.0,3,0.09555,0.0,3,4.590073528822822,0.0,3,0.0004333333333333333,0.0,3,0.09555,0.0,3,8.271408631545173,0.0,3,0.00013333333333333334,0.0,3,0.09551,0.0,3
neg_8_5GeV,1.16,5.0,raw,3,9.327120790755218,0.1959994575333743,3,0.010055555555555555,4.157397096415465e-05,3,0.9353366666666667,0.021528220755299032,3,14.575445617384267,2.2388371997142387,3,0.0020444444444444447,3.142696805273546e-05,3,0.6582766666666666,0.09598537434885013,3,15.458273093840813,4.459627029029133,3,0.0011,7.200822998230949e-05,3,0.5168,0.16646254173236694,3,8.798673764882599,1.9032856568751486,3,0.0005333333333333334,0.0,3,0.20319666666666666,0.04395449945366483,3,0.07404413155747881,0.03725702121101226,3,0.0002111111111111111,1.5713484026367716e-05,3,0.00106,0.0005132250968142536,3,0.04714605461575575,0.016885384237109984,3,0.00016666666666666666,2.721655269759087e-05,3,0.0006033333333333333,0.00021699974398346392,3
neg_91_5GeV,0.33,5.0,L,3,0.054116362492710915,0.04665328050717001,3,0.010044444444444444,3.1426968052735256e-05,3,0.005416666666666667,0.004663363116416687,3,0.022223118005303456,0.01672012547844156,3,0.002022222222222222,3.142696805273546e-05,3,0.0009966666666666668,0.0007459371436134699,3,0.020877618920817537,0.01254159857688756,3,0.0010222222222222223,3.142696805273546e-05,3,0.0006733333333333333,0.0004145144415122617,3,0.024509421545305932,0.012280305475570092,3,0.0005333333333333334,2.7216552697590882e-05,3,0.00057,0.00029698484809835,3,0.02017426661933975,0.009346024434004029,3,0.0002777777777777778,3.142696805273543e-05,3,0.0003266666666666667,0.00012970050972229148,3,0.019321749938139243,0.014831384943019183,3,0.00014444444444444444,1.5713484026367716e-05,3,0.00024,0.00019200694431886225,3
neg_91_5GeV,0.33,5.0,S,3,9.100599614055877,0.26513851318703724,3,0.010077777777777778,8.748897637790928e-05,3,0.9135733333333333,0.0264855801438359,3,19.89490866075755,0.7399865026493687,3,0.002011111111111111,1.5713484026367628e-05,3,0.8923133333333333,0.036629360112104374,3,27.405382834645774,1.5994263244098255,3,0.0010333333333333334,2.7216552697590882e-05,3,0.88036,0.042597042933361806,3,37.56237746712087,2.2515746140269024,3,0.0005222222222222222,1.571348402636773e-05,3,0.8581933333333334,0.05212269520617246,3,49.120480382813945,7.883490783769614,3,0.0002111111111111111,1.5713484026367716e-05,3,0.70905,0.09138358605351397,3,53.09042280789978,10.925582709636188,3,0.00016666666666666666,2.721655269759087e-05,3,0.67302,0.08774148543685971,3
neg_91_5GeV,0.33,5.0,SUP,3,9.982999999999999,0.0,3,0.01,0.0,3,0.9983,0.0,3,,,,,,,,,,31.52316485538849,0.0,3,0.001,0.0,3,0.99685,0.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg_91_5GeV,0.33,5.0,comb,3,9.03083069394642,0.3238135071598907,3,0.010022222222222222,1.5713484026367628e-05,3,0.9041066666666667,0.03299879021351474,3,19.319352769006105,1.25427931330586,3,0.0021,8.164965809277264e-05,3,0.8840533333333334,0.04025954655592743,3,26.356815818564844,1.565683776341826,3,0.0010666666666666667,0.0,3,0.86081,0.051135018007884475,3,0.019103297068930467,0.0011854187305677308,3,0.0005222222222222222,3.142696805273546e-05,3,0.00043666666666666664,3.3993463423951894e-05,3,0.010842303978193728,0.014344956527566677,3,0.0002,0.0,3,0.00015333333333333334,0.00020286832072937251,3,0.00047140452079103175,0.0006666666666666668,3,0.00017777777777777779,3.1426968052735446e-05,3,6.6666666666666675e-06,9.428090415820634e-06,3
