stem,z_m,m_chi_GeV,SIC_comb_cauchy
eval_signal_neg_91_5GeV,0.33,5.0,0.026944387170614956
eval_signal_neg_58_5GeV,0.66,5.0,0.009797958971132711
eval_signal_neg_24_5GeV,1.0,5.0,0.019595917942265423
eval_signal_neg_20_5GeV,1.04,5.0,0.0
eval_signal_neg_16_5GeV,1.08,5.0,0.06123724356957945
eval_signal_neg_8_5GeV,1.16,5.0,11.665694900004885
eval_signal_zero_5GeV,1.24,5.0,52.63953457241049
eval_signal_neg_91_0.5GeV,0.33,0.5,0.013472193585307478
eval_signal_neg_58_0.5GeV,0.66,0.5,0.009797958971132711
eval_signal_neg_24_0.5GeV,1.0,0.5,0.01224744871391589
eval_signal_neg_20_0.5GeV,1.04,0.5,0.001224744871391589
eval_signal_neg_16_0.5GeV,1.08,0.5,0.06981045766932056
eval_signal_neg_8_0.5GeV,1.16,0.5,11.89349744608372
eval_signal_zero_0.5GeV,1.24,0.5,49.22494587097074
eval_signal_neg_91_0.05GeV,0.33,0.05,0.0110227038425243
eval_signal_neg_58_0.05GeV,0.66,0.05,0.01224744871391589
eval_signal_neg_24_0.05GeV,1.0,0.05,0.009797958971132711
eval_signal_neg_20_0.05GeV,1.04,0.05,0.002449489742783178
eval_signal_neg_16_0.05GeV,1.08,0.05,0.08083316151184487
eval_signal_neg_8_0.05GeV,1.16,0.05,11.674268114104626
eval_signal_zero_0.05GeV,1.24,0.05,49.368241020923556
eval_signal_neg_91_low,0.33,0.005,0.013472193585307478
eval_signal_neg_58_low,0.66,0.005,0.0036742346141747668
eval_signal_neg_24_low,1.0,0.005,0.014696938456699067
eval_signal_neg_20_low,1.04,0.005,0.0
eval_signal_neg_16_low,1.08,0.005,0.05388877434122991
eval_signal_neg_8_low,1.16,0.005,11.872676783270062
eval_signal_zero_low,1.24,0.005,49.026537201805304
