stem,z_m,m_chi_GeV,nb3_SIC_raw,nb3_SIC_L,nb3_SIC_S,nb3_SIC_occ,nb3_SIC_comb,nb5_SIC_raw,nb5_SIC_L,nb5_SIC_S,nb5_SIC_occ,nb5_SIC_comb,nb10_SIC_raw,nb10_SIC_L,nb10_SIC_S,nb10_SIC_occ,nb10_SIC_comb
eval_signal_neg_91_5GeV,0.33,5.0,29.071439307069326,0.020792205017113607,31.532347244175668,0.019052558883257648,30.529370799138725,27.10145840796598,0.04133333333333333,27.49189329420584,0.019052558883257648,26.099614759344764,33.8729282334029,0.04101219330881976,34.65823861892965,0.022,7.27385002251215
eval_signal_neg_58_5GeV,0.66,5.0,22.119145089718096,0.013486835686776395,23.78164533168002,0.0069282032302755096,22.455332404382357,21.445923864906238,0.029666666666666668,21.596459052353932,0.0069282032302755096,17.02729127829386,24.55802197910727,0.028637824638055174,24.857013661473232,0.008,5.838909692742302
eval_signal_neg_24_5GeV,1.0,5.0,0.04551753677261275,0.014891714404148935,0.054652621994823736,0.013856406460551019,0.047311640262707295,0.06688338431011244,0.03666666666666667,0.0758946638440411,0.013856406460551019,0.03891768501461195,0.04212012895466839,0.0350017856687341,0.04654030511288039,0.016,0.017041126723312636
eval_signal_neg_20_5GeV,1.04,5.0,0.5903692456029922,0.0008429272304235247,0.7053142433115765,0.0,0.40738572684224295,0.94849971516992,0.001,1.0663200270087776,0.0,0.07590556746651587,0.5773636544446525,0.0010606601717798212,0.6131889322767223,0.0,0.010069756700139283
eval_signal_neg_16_5GeV,1.08,5.0,10.250956900924683,0.08963126216836813,10.906890832696716,0.04330127018922193,6.365401981910046,16.617876774241378,0.12300000000000001,16.566856433856124,0.04416729559300637,0.9465681570082891,9.917303570288809,0.13010764773832476,9.335413658037156,0.051000000000000004,0.11154192037077361
eval_signal_neg_8_5GeV,1.16,5.0,8.509061911596637,8.801284188595496,6.76104632502181,8.255820174277053,11.916032510135608,13.605013625202126,10.995,11.283639147012813,8.271408631545173,10.877010510943363,9.804056053759748,11.66125148193795,6.808356740065844,9.551,0.17350965391009227
eval_signal_zero_5GeV,1.24,5.0,6.319124899857575,21.78770207624379,3.731149274565534,38.42294908970419,27.016391220242895,10.411098710262944,23.994,6.532949418141855,39.40848599921088,25.119596691249534,6.610873447347339,25.44948016168503,3.3655989065840872,45.505,0.22966791243009985
eval_signal_neg_91_0.5GeV,0.33,0.5,0.0414413394496922,0.01264390845635287,0.050590602792505754,0.009526279441628824,0.039727331518303835,0.0743494365121715,0.025666666666666667,0.08285167469641154,0.009526279441628824,0.03119847476377983,0.04013333041907083,0.026162950903902256,0.04409081537009721,0.011,0.00890786169627706
eval_signal_neg_58_0.5GeV,0.66,0.5,0.012568275079005013,0.010677078252031314,0.014770978917519929,0.0069282032302755096,0.01841903552212269,0.017420788471471143,0.025666666666666667,0.020554804791094467,0.0069282032302755096,0.0250874333152044,0.01390758974918296,0.024041630560342617,0.015105186747162934,0.008,0.00890786169627706
eval_signal_neg_24_0.5GeV,1.0,0.5,0.009171443976571226,0.007867320817286229,0.009231861823449955,0.008660254037844387,0.014085144811034995,0.0090214797441547,0.024333333333333332,0.009486832980505138,0.008660254037844387,0.01897639186662897,0.00874191355662929,0.02368807716974934,0.008573214099741124,0.01,0.008520563361656318
eval_signal_neg_20_0.5GeV,1.04,0.5,0.03940324078823193,0.0014048787173725412,0.04579003464431178,0.0008660254037844387,0.03178186521464307,0.06563904227643592,0.002,0.07115124735378854,0.0008660254037844387,0.014151885459858893,0.04013333041907083,0.0021213203435596424,0.041641325627314034,0.001,0.006584071688552609
eval_signal_neg_16_0.5GeV,1.08,0.5,0.6909154462350323,0.10733273400726215,0.7359640245654304,0.05022947341949744,0.5309016121082422,1.421660773475413,0.14266666666666666,1.3831802485576492,0.05022947341949744,0.2483012630684333,0.7434600120206091,0.15132085117392116,0.6964715835313503,0.057999999999999996,0.018977618396416342
eval_signal_neg_8_0.5GeV,1.16,0.5,0.7068805524164711,8.9985291605146,0.4999976363580496,8.468862423608025,10.09001989053066,1.6982157904600177,11.237333333333332,1.0290051506187907,8.486182931683713,10.89759507161225,0.8149847593021214,11.917931243508665,0.5107186113702927,9.799,0.1553066321829174
eval_signal_zero_0.5GeV,1.24,0.5,0.4473626561905298,21.855136254677674,0.27769440364937464,38.590091992634584,26.66570723020405,0.9469442876278243,23.957666666666668,0.4990074147745703,39.65530323928944,25.09000638528801,0.43431415988162786,25.410942842110366,0.23800875334043217,45.79,0.2405122657994806
eval_signal_neg_91_0.05GeV,0.33,0.05,0.004415880433163923,0.010396102508556803,0.005169842621131975,0.007794228634059948,0.013362829692520381,0.004977368134706042,0.023,0.005059644256269408,0.007794228634059948,0.020906194429337,0.00516567619255367,0.022980970388562793,0.0057154760664940825,0.009000000000000001,0.00890786169627706
