z_m,m_chi_GeV,stem,raw_LL,T_occ_raw,T_occ_simple,p_raw,p_L,p_S,p_occ,p_Bonf,p_comb
0.33,5.0,eval_signal_neg_91_5GeV,26.9716,0.0051,0.0009,27.1015,0.0421,26.6189,0.0191,33.9112,27.5639
0.66,5.0,eval_signal_neg_58_5GeV,20.6104,0.0018,0.0000,21.4462,0.0302,20.9110,0.0069,10.7199,17.9828
1.0,5.0,eval_signal_neg_24_5GeV,0.0434,0.0037,0.0000,0.0669,0.0374,0.0735,0.0139,0.0115,0.0411
1.04,5.0,eval_signal_neg_20_5GeV,0.5790,0.0000,0.0000,0.9485,0.0010,1.0325,0.0000,0.0052,0.0795
1.08,5.0,eval_signal_neg_16_5GeV,10.1581,0.0118,0.0233,16.6179,0.1253,16.0408,0.0442,0.0501,0.9990
1.16,5.0,eval_signal_neg_8_5GeV,8.3847,2.2037,4.3612,13.6066,11.2061,10.9263,8.2714,4.7837,11.4871
1.24,5.0,eval_signal_zero_5GeV,6.2246,10.5235,20.8267,10.4229,24.4993,6.3322,39.4120,2.0529,26.5418
0.33,0.5,eval_signal_neg_91_0.5GeV,0.0406,0.0025,0.0000,0.0743,0.0262,0.0802,0.0095,0.0078,0.0326
0.66,0.5,eval_signal_neg_58_0.5GeV,0.0120,0.0018,0.0000,0.0174,0.0262,0.0199,0.0069,0.0057,0.0265
1.0,0.5,eval_signal_neg_24_0.5GeV,0.0079,0.0023,0.0000,0.0090,0.0248,0.0092,0.0087,0.0063,0.0197
1.04,0.5,eval_signal_neg_20_0.5GeV,0.0378,0.0002,0.0005,0.0656,0.0020,0.0689,0.0009,0.0084,0.0149
1.08,0.5,eval_signal_neg_16_0.5GeV,0.6904,0.0134,0.0265,1.4217,0.1454,1.3393,0.0502,0.0386,0.2616
1.16,0.5,eval_signal_neg_8_0.5GeV,0.7215,2.2602,4.4731,1.6982,11.4524,0.9963,8.4862,4.8213,11.5081
1.24,0.5,eval_signal_zero_0.5GeV,0.4339,10.5851,20.9486,0.9479,24.4721,0.4841,39.6588,1.9009,26.5157
0.33,0.05,eval_signal_neg_91_0.05GeV,0.0041,0.0021,0.0000,0.0053,0.0234,0.0052,0.0078,0.0073,0.0221
0.66,0.05,eval_signal_neg_58_0.05GeV,0.0057,0.0023,0.0000,0.0068,0.0336,0.0064,0.0087,0.0073,0.0279
1.0,0.05,eval_signal_neg_24_0.05GeV,0.0050,0.0018,0.0000,0.0050,0.0302,0.0052,0.0069,0.0068,0.0275
1.04,0.05,eval_signal_neg_20_0.05GeV,0.0390,0.0005,0.0009,0.0625,0.0024,0.0652,0.0017,0.0089,0.0177
1.08,0.05,eval_signal_neg_16_0.05GeV,0.6013,0.0155,0.0306,1.2537,0.1569,1.1782,0.0580,0.0533,0.2734
1.16,0.05,eval_signal_neg_8_0.05GeV,0.6441,2.2166,4.3868,1.4546,11.4038,0.8711,8.3225,4.7795,11.4507
1.24,0.05,eval_signal_zero_0.05GeV,0.3726,10.6342,21.0458,0.7995,24.4888,0.4127,39.8441,1.8503,26.5197
0.33,0.005,eval_signal_neg_91_low,0.0053,0.0025,0.0000,0.0050,0.0272,0.0055,0.0095,0.0063,0.0241
0.66,0.005,eval_signal_neg_58_low,0.0057,0.0007,0.0000,0.0072,0.0272,0.0070,0.0026,0.0052,0.0251
1.0,0.005,eval_signal_neg_24_low,0.0079,0.0028,0.0000,0.0084,0.0265,0.0083,0.0104,0.0084,0.0241
1.04,0.005,eval_signal_neg_20_low,0.0396,0.0000,0.0000,0.0585,0.0024,0.0622,0.0000,0.0047,0.0183
1.08,0.005,eval_signal_neg_16_low,0.6085,0.0101,0.0201,1.2419,0.1413,1.1718,0.0381,0.0386,0.2633
1.16,0.005,eval_signal_neg_8_low,0.6340,2.2593,4.4712,1.4904,11.4419,0.8791,8.4810,4.8260,11.4949
1.24,0.005,eval_signal_zero_low,0.3829,10.5687,20.9162,0.8185,24.5166,0.4225,39.6007,1.8732,26.5653
