stem,z_m,m_chi_GeV,SIC_comb_evalue
eval_signal_neg_91_5GeV,0.33,5.0,29.384324647675673
eval_signal_neg_58_5GeV,0.66,5.0,11.116236800284527
eval_signal_neg_24_5GeV,1.0,5.0,0.026723585088831176
eval_signal_neg_20_5GeV,1.04,5.0,0.19829674732581976
eval_signal_neg_16_5GeV,1.08,5.0,2.6832028622524984
eval_signal_neg_8_5GeV,1.16,5.0,3.9636111565086702
eval_signal_zero_5GeV,1.24,5.0,7.819940674327396
eval_signal_neg_91_0.5GeV,0.33,0.5,0.017428425057933374
eval_signal_neg_58_0.5GeV,0.66,0.5,0.014330038380967441
eval_signal_neg_24_0.5GeV,1.0,0.5,0.012780845042484475
eval_signal_neg_20_0.5GeV,1.04,0.5,0.017041126723312636
eval_signal_neg_16_0.5GeV,1.08,0.5,0.1587923171945041
eval_signal_neg_8_0.5GeV,1.16,0.5,0.5615825852000754
eval_signal_zero_0.5GeV,1.24,0.5,0.5147194867109657
eval_signal_neg_91_0.05GeV,0.33,0.05,0.012780845042484475
eval_signal_neg_58_0.05GeV,0.66,0.05,0.014330038380967441
eval_signal_neg_24_0.05GeV,1.0,0.05,0.012393546707863735
eval_signal_neg_20_0.05GeV,1.04,0.05,0.01626653005407115
eval_signal_neg_16_0.05GeV,1.08,0.05,0.1553066321829174
eval_signal_neg_8_0.05GeV,1.16,0.05,0.5120083983686206
eval_signal_zero_0.05GeV,1.24,0.05,0.4430692948061285
eval_signal_neg_91_low,0.33,0.005,0.012393546707863735
eval_signal_neg_58_low,0.66,0.005,0.012780845042484475
eval_signal_neg_24_low,1.0,0.005,0.012780845042484475
eval_signal_neg_20_low,1.04,0.005,0.01781572339255412
eval_signal_neg_16_low,1.08,0.005,0.16847477556002263
eval_signal_neg_8_low,1.16,0.005,0.5135575917071035
eval_signal_zero_low,1.24,0.005,0.4705674765642011
