z_m,m_chi_GeV,stem,raw_LL,T_occ_raw,T_occ_simple,p_raw,p_L,p_S,p_occ,p_Bonf,p_comb
0.33,5.0,eval_signal_neg_91_5GeV,25.7000,0.0051,0.0009,25.4542,0.0218,25.9620,0.0191,30.5480,25.4360
0.66,5.0,eval_signal_neg_58_5GeV,13.9252,0.0018,0.0000,14.9309,0.0130,15.4827,0.0069,2.5146,9.8827
1.0,5.0,eval_signal_neg_24_5GeV,0.0441,0.0037,0.0000,0.0527,0.0160,0.0541,0.0139,0.0225,0.0243
1.04,5.0,eval_signal_neg_20_5GeV,0.9072,0.0000,0.0000,1.2551,0.0000,1.2845,0.0000,0.0094,0.1750
1.08,5.0,eval_signal_neg_16_5GeV,13.2735,0.0118,0.0233,17.6801,0.0004,18.2197,0.0442,0.0674,2.4093
1.16,5.0,eval_signal_neg_8_5GeV,7.4218,2.2037,4.3612,11.1629,0.0000,13.3353,8.2714,0.0475,4.4020
1.24,5.0,eval_signal_zero_5GeV,3.0245,10.5235,20.8267,4.8099,0.0000,7.6141,39.4120,0.0428,15.6207
0.33,0.5,eval_signal_neg_91_0.5GeV,0.0138,0.0025,0.0000,0.0199,0.0126,0.0199,0.0095,0.0178,0.0153
0.66,0.5,eval_signal_neg_58_0.5GeV,0.0072,0.0018,0.0000,0.0107,0.0109,0.0112,0.0069,0.0151,0.0130
1.0,0.5,eval_signal_neg_24_0.5GeV,0.0066,0.0023,0.0000,0.0086,0.0092,0.0084,0.0087,0.0136,0.0117
1.04,0.5,eval_signal_neg_20_0.5GeV,0.0381,0.0002,0.0005,0.0652,0.0004,0.0663,0.0009,0.0104,0.0153
1.08,0.5,eval_signal_neg_16_0.5GeV,0.6482,0.0134,0.0265,1.1709,0.0000,1.2319,0.0502,0.0277,0.1540
1.16,0.5,eval_signal_neg_8_0.5GeV,0.3864,2.2602,4.4731,0.6908,0.0000,0.9858,8.4862,0.0277,3.3717
1.24,0.5,eval_signal_zero_0.5GeV,0.1891,10.5851,20.9486,0.3016,0.0000,0.5164,39.6588,0.0204,15.3290
0.33,0.05,eval_signal_neg_91_0.05GeV,0.0047,0.0021,0.0000,0.0052,0.0113,0.0056,0.0078,0.0157,0.0113
0.66,0.05,eval_signal_neg_58_0.05GeV,0.0050,0.0023,0.0000,0.0046,0.0130,0.0047,0.0087,0.0178,0.0120
1.0,0.05,eval_signal_neg_24_0.05GeV,0.0047,0.0018,0.0000,0.0052,0.0097,0.0053,0.0069,0.0136,0.0110
1.04,0.05,eval_signal_neg_20_0.05GeV,0.0425,0.0005,0.0009,0.0615,0.0000,0.0641,0.0017,0.0099,0.0150
1.08,0.05,eval_signal_neg_16_0.05GeV,0.5771,0.0155,0.0306,1.0374,0.0000,1.0919,0.0580,0.0345,0.1553
1.16,0.05,eval_signal_neg_8_0.05GeV,0.3556,2.2166,4.3868,0.6222,0.0000,0.8885,8.3225,0.0272,3.3007
1.24,0.05,eval_signal_zero_0.05GeV,0.1630,10.6342,21.0458,0.2624,0.0000,0.4492,39.8441,0.0162,15.3970
0.33,0.005,eval_signal_neg_91_low,0.0053,0.0025,0.0000,0.0058,0.0122,0.0062,0.0095,0.0146,0.0120
0.66,0.005,eval_signal_neg_58_low,0.0053,0.0007,0.0000,0.0055,0.0109,0.0056,0.0026,0.0157,0.0113
1.0,0.005,eval_signal_neg_24_low,0.0069,0.0028,0.0000,0.0064,0.0113,0.0072,0.0104,0.0157,0.0110
1.04,0.005,eval_signal_neg_20_low,0.0403,0.0000,0.0000,0.0579,0.0000,0.0597,0.0000,0.0089,0.0157
1.08,0.005,eval_signal_neg_16_low,0.5947,0.0101,0.0201,1.0208,0.0000,1.0767,0.0381,0.0303,0.1593
1.16,0.005,eval_signal_neg_8_low,0.3490,2.2593,4.4712,0.6292,0.0000,0.8822,8.4810,0.0225,3.3510
1.24,0.005,eval_signal_zero_low,0.1702,10.5687,20.9162,0.2667,0.0000,0.4495,39.6007,0.0172,15.3077
