stem,z_m,m_chi_GeV,A_dom,D_dom,flipped,significant,A_p_raw,A_p_L,A_p_S,A_p_occ,A_p_comb,D_p_raw,D_p_L,D_p_S,D_p_occ,D_p_comb
eval_signal_neg_91_low,0.33,0.005,p_L,p_comb,1,0,0.0058,0.0122,0.0062,0.0095,0.012,0.004732863826479692,0.024987801902176972,0.0049497474683058325,0.009838699100999075,0.027712812921102038
eval_signal_neg_91_0.05GeV,0.33,0.05,p_L,p_comb,1,0,0.0052,0.0113,0.0056,0.0078,0.0113,0.004394802124588286,0.021551979140627637,0.004596194077712558,0.008049844718999243,0.025403411844343533
eval_signal_neg_91_0.5GeV,0.33,0.5,p_raw,p_S,1,0,0.0199,0.0126,0.0199,0.0095,0.0153,0.03549647869859769,0.02405075933084533,0.04171930009000631,0.009838699100999075,0.0388749181254348
eval_signal_neg_91_5GeV,0.33,5.0,p_S,p_comb,1,1,25.4542,0.0218,25.962,0.0191,25.436,28.797786075619474,0.038731092948374304,30.050623986865897,0.01967739820199815,31.36282132291885
eval_signal_neg_58_low,0.66,0.005,p_comb,p_comb,0,0,0.0055,0.0109,0.0056,0.0026,0.0113,0.005747048932153913,0.024987801902176972,0.006010407640085654,0.0026832815729997475,0.028482613280021538
eval_signal_neg_58_0.05GeV,0.66,0.05,p_L,p_comb,1,0,0.0046,0.013,0.0047,0.0087,0.012,0.005408987230262507,0.030922404853944,0.005656854249492381,0.00894427190999916,0.03117691453623979
eval_signal_neg_58_0.5GeV,0.66,0.5,p_comb,p_comb,0,0,0.0107,0.0109,0.0112,0.0069,0.013,0.011494097864307827,0.02405075933084533,0.013081475451951128,0.007155417527999327,0.03002221399786054
eval_signal_neg_58_5GeV,0.66,5.0,p_S,p_S,0,0,14.9309,0.013,15.4827,0.0069,9.8827,21.63527279764624,0.027798929616171877,22.403971255114573,0.007155417527999327,20.736497168394056
eval_signal_neg_24_low,1.0,0.005,p_L,p_comb,1,0,0.0064,0.0113,0.0072,0.0104,0.011,0.00811348084539376,0.024363106854622545,0.00848528137423857,0.01073312629199899,0.028097713100561784
eval_signal_neg_24_0.05GeV,1.0,0.05,p_comb,p_comb,0,0,0.0052,0.0097,0.0053,0.0069,0.011,0.005408987230262507,0.027798929616171877,0.005656854249492381,0.007155417527999327,0.03156181471569954
eval_signal_neg_24_0.5GeV,1.0,0.5,p_comb,p_comb,0,0,0.0086,0.0092,0.0084,0.0087,0.0117,0.007437357441610946,0.022801369235736484,0.008131727983645297,0.00894427190999916,0.02347891094704478
