z_m,m_chi_GeV,stem,sic_raw,sic_L,sic_S,sic_occ,sic_shellI,sic_shellII,sic_comb4,sic_comb6
0.33,5.0,eval_signal_neg_91_5GeV,25.45417884834924,0.02184436931083695,25.96195219062671,0.019052558883257648,0.013093073414159544,32.426489386943175,25.436,0.019743949184794937
0.66,5.0,eval_signal_neg_58_5GeV,14.93086472713486,0.01302260478146049,15.482725754019981,0.0069282032302755096,0.00687386354243376,32.33205748229552,9.882666666666667,0.012182436731043685
1.0,5.0,eval_signal_neg_24_5GeV,0.05266402946983832,0.01596319295791931,0.054128878464928205,0.013856406460551019,0.009819805060619656,13.332562077052616,0.024333333333333332,0.008821764529376462
1.04,5.0,eval_signal_neg_20_5GeV,1.2550573069585307,0.0,1.284472064262578,0.0,0.0,18.531072396217283,0.17500000000000002,0.007561512453751253
1.08,5.0,eval_signal_neg_16_5GeV,17.68011077719113,0.00042008402520840295,18.219656057091466,0.04416729559300637,0.0003273268353539886,17.674731275293723,2.409333333333333,0.016383276983127713
1.16,5.0,eval_signal_neg_8_5GeV,11.162937130298637,0.0,13.335302489402743,8.271408631545173,0.0,14.508884687825436,4.402,0.045369074722507514
1.24,5.0,eval_signal_zero_5GeV,4.809879296172618,0.0,7.614128904066567,39.41195010082602,0.0,12.17186488935099,15.620666666666667,0.3797559587883962
0.33,0.5,eval_signal_neg_91_0.5GeV,0.01990210416011332,0.012602520756252086,0.019909472538824167,0.009526279441628824,0.007855844048495726,5.218551622669027,0.015333333333333334,0.0033606722016672236
0.66,0.5,eval_signal_neg_58_0.5GeV,0.010716517624676403,0.010922184655418474,0.011199078303088595,0.0069282032302755096,0.00687386354243376,1.0299191902579243,0.013,0.0025205041512504174
1.0,0.5,eval_signal_neg_24_0.5GeV,0.008573214099741122,0.009241848554584865,0.008399308727316446,0.008660254037844387,0.005564556201017807,0.01664447240192556,0.011666666666666667,0.0021004201260420145
1.04,0.5,eval_signal_neg_20_0.5GeV,0.06521766440160211,0.00042008402520840295,0.06626121329327418,0.0008660254037844387,0.0,0.022079402165819616,0.015333333333333334,0.007981596478959655
1.08,0.5,eval_signal_neg_16_0.5GeV,1.1708560970503592,0.0,1.2318986133397454,0.05022947341949744,0.0,0.052990565197967084,0.154,0.012182436731043685
1.16,0.5,eval_signal_neg_8_0.5GeV,0.6907561074648562,0.0,0.9858299761802155,8.486182931683713,0.0,0.09409222153741591,3.371666666666667,0.015543108932710907
1.24,0.5,eval_signal_zero_0.5GeV,0.30159342458017874,0.0,0.5164019439757518,39.65876734090458,0.0,0.42732135268617044,15.329,0.051250251075425156
0.33,0.05,eval_signal_neg_91_0.05GeV,0.005205165703414253,0.011342268680626879,0.005599539151544298,0.007794228634059948,0.006546536707079772,0.012568275079005013,0.011333333333333334,0.0025205041512504174
0.66,0.05,eval_signal_neg_58_0.05GeV,0.004592793267718458,0.01302260478146049,0.004666282626286914,0.008660254037844387,0.008510497719203702,0.011888908858518255,0.012000000000000002,0.0021004201260420145
1.0,0.05,eval_signal_neg_24_0.05GeV,0.005205165703414253,0.009661932579793267,0.00528845364312517,0.0069282032302755096,0.006546536707079772,0.014946056850708664,0.011000000000000001,0.0029405881764588203
1.04,0.05,eval_signal_neg_20_0.05GeV,0.06154342978742734,0.0,0.0640836147343403,0.0017320508075688774,0.0,0.021739719055576243,0.015,0.007561512453751253
1.08,0.05,eval_signal_neg_16_0.05GeV,1.0373589060686759,0.0,1.091910134551138,0.05802370205355739,0.0,0.034647677244824635,0.15533333333333335,0.01596319295791931
1.16,0.05,eval_signal_neg_8_0.05GeV,0.6221703946669273,0.0,0.8884602120450285,8.322504130368456,0.0,0.0655588402769721,3.300666666666667,0.01596319295791931
1.24,0.05,eval_signal_zero_0.05GeV,0.2624015886956479,0.0,0.44920747415722023,39.84409677731445,0.0,0.3257561027234002,15.397,0.039067814344381474
0.33,0.005,eval_signal_neg_91_low,0.005817538139110048,0.012182436731043685,0.006221710168382553,0.009526279441628824,0.006219209871725783,0.012907958189248392,0.012000000000000002,0.00042008402520840295
0.66,0.005,eval_signal_neg_58_low,0.00551135192126215,0.010922184655418474,0.005599539151544298,0.002598076211353316,0.005564556201017807,0.015625423071195424,0.011333333333333334,0.0037807562268756265
1.0,0.005,eval_signal_neg_24_low,0.006429910574805842,0.011342268680626879,0.007154966693639935,0.010392304845413263,0.00687386354243376,0.012907958189248392,0.011000000000000001,0.0029405881764588203
1.04,0.005,eval_signal_neg_20_low,0.05786919517325258,0.0,0.059728417616472504,0.0,0.0,0.021739719055576243,0.015666666666666666,0.005041008302500835
1.08,0.005,eval_signal_neg_16_low,1.0208248503048893,0.0,1.0766669446386008,0.038105117766515297,0.0,0.0414413394496922,0.15933333333333335,0.010922184655418474
1.16,0.005,eval_signal_neg_8_low,0.6292126776774287,0.0,0.8822385018766459,8.480986779261007,0.0,0.06182232606429493,3.351,0.016803361008336116
1.24,0.005,eval_signal_zero_low,0.2666881957455185,0.0,0.44951855966563936,39.60074363885102,0.0,0.33662596225118835,15.307666666666668,0.03990798239479828
