stem,z_m,m_chi_GeV,dom4,dom5,mean_znorm2II_bg,mean_znorm2II_sig,shift_over_d_II,sic_S,sic_shellII,ratio_shellII_over_S
eval_signal_neg_91_5GeV,0.33,5.0,S,shellII,495.6104431152344,1171.8123779296875,1.3416704,25.96195219062671,32.426489386943175,1.249000427581498
eval_signal_neg_58_5GeV,0.66,5.0,S,shellII,495.6104431152344,895.971923828125,0.794368,15.482725754019981,32.33205748229552,2.0882664975126053
eval_signal_neg_24_5GeV,1.0,5.0,S,shellII,495.6104431152344,652.8154907226562,0.31191477,0.054128878464928205,13.332562077052616,246.3114414183032
eval_signal_neg_20_5GeV,1.04,5.0,S,shellII,495.6104431152344,682.9776000976562,0.37176022,1.284472064262578,18.531072396217283,14.426995270509108
eval_signal_neg_8_5GeV,1.16,5.0,S,shellII,495.6104431152344,657.2701416015625,0.32075337,13.335302489402743,14.508884687825436,1.0880056676146126
eval_signal_neg_91_0.5GeV,0.33,0.5,S,shellII,495.6104431152344,597.1342163085938,0.20143606,0.019909472538824167,5.218551622669027,262.11400691267283
eval_signal_neg_58_0.5GeV,0.66,0.5,comb4,shellII,495.6104431152344,549.9721069335938,0.107860446,0.011199078303088595,1.0299191902579243,91.9646387304822
