stem,z_m,m_chi_GeV,nb3_SIC_raw,nb3_SIC_L,nb3_SIC_S,nb3_SIC_occ,nb3_SIC_comb,nb5_SIC_raw,nb5_SIC_L,nb5_SIC_S,nb5_SIC_occ,nb5_SIC_comb,nb10_SIC_raw,nb10_SIC_L,nb10_SIC_S,nb10_SIC_occ,nb10_SIC_comb
eval_signal_neg_91_5GeV,0.33,5.0,30.121718757552514,0.01430993338727987,30.15347636222518,0.019052558883257648,29.552799423235694,25.45417884834924,0.021228911104120878,25.96195219062671,0.019052558883257648,19.5,29.114355481968595,0.04449848744188261,29.23931599747162,0.022,4.475217760064866
eval_signal_neg_58_5GeV,0.66,5.0,16.234413653773217,0.008399308727316446,16.302729431266744,0.0069282032302755096,11.481071831497266,14.930558540917012,0.012655697004379754,15.482414668511563,0.0069282032302755096,1.608,14.236469828363807,0.06521915716672871,14.536230602547374,0.008,0.432028753383383
eval_signal_neg_24_5GeV,1.0,5.0,0.050590602792505754,0.009954736269412083,0.04874423042781576,0.013856406460551019,0.025174391750348208,0.05266402946983832,0.015513435037626797,0.054128878464928205,0.013856406460551019,0.017,0.03756038616275999,0.07303186870232643,0.03756038616275999,0.016,0.009491772753284814
eval_signal_neg_20_5GeV,1.04,5.0,1.037661268955775,0.0,0.9815315490691993,0.0,0.20178243233740642,1.2550573069585307,0.0,1.284472064262578,0.0,0.009333333333333332,0.793824315247562,1.2918148682555695,0.7952689454845914,0.0,0.007654655446197431
eval_signal_neg_16_5GeV,1.08,5.0,15.198229482709193,0.0,14.556799723215889,0.04330127018922193,2.7990050643041,17.68011077719113,0.0,18.219656057091466,0.04416729559300637,0.04666666666666667,11.823576174965737,0.0,11.973095404498261,0.051000000000000004,0.014084566021003274
eval_signal_neg_8_5GeV,1.16,5.0,8.423520002188678,0.0,9.689392895420136,8.255820174277053,5.10730313864372,11.162630944080789,0.0,13.334680318385905,8.271408631545173,0.06333333333333334,7.589364950233062,0.0,9.34820226381615,9.551,0.07164757497640796
eval_signal_zero_5GeV,1.24,5.0,3.4737649669277495,0.0,5.336385408427012,38.42294908970419,17.69062603047162,4.8037555718156595,0.0,7.6029298257634785,39.40848599921088,2.032,2.944517580624829,0.0,4.8756270499736525,45.505,1.9644907737121085
eval_signal_neg_91_0.5GeV,0.33,0.5,0.01661735128220992,0.008088223218897317,0.01661735128220992,0.009526279441628824,0.015491933384829668,0.020208290377961218,0.012247448713915891,0.020220558047243292,0.009526279441628824,0.013,0.013362829692520381,0.08186362956865427,0.013723987251777689,0.011,0.004286607049870561
eval_signal_neg_58_0.5GeV,0.66,0.5,0.00812403840463596,0.007466052202059063,0.008493312877573959,0.0069282032302755096,0.013168143377105219,0.010716517624676403,0.010614455552060439,0.011199078303088595,0.0069282032302755096,0.011333333333333334,0.0072231511851461525,0.07133345315110953,0.0075843087444034596,0.008,0.0033680483963268695
eval_signal_neg_24_0.5GeV,1.0,0.5,0.008493312877573959,0.006843881185220808,0.00812403840463596,0.008660254037844387,0.012393546707863735,0.008573214099741122,0.008981462390204987,0.008399308727316446,0.008660254037844387,0.009666666666666667,0.0072231511851461525,0.07099377004086616,0.0072231511851461525,0.01,0.005205165703414253
