z,e0_frac_median
0.33,0.17459169030189514
0.66,0.17585507035255432
1.0,0.17647027969360352
1.04,0.0262469369918108
1.08,0.0010020481422543526
1.16,9.748649608809501e-05
1.24,1.8214283272754983e-06
