nominal,achieved
0.0005011872336272725,0.0008666666666666666
0.0006089973244419453,0.0009
0.0007399983804321429,0.0009333333333333333
0.0008991789964660124,0.0010333333333333334
0.001092600861117379,0.0012
0.0013276295892211266,0.0013
0.001613215208683697,0.0014
0.001960232982646277,0.0018666666666666666
0.0023818975457029212,0.002266666666666667
0.0028942661247167516,0.0025666666666666667
0.0035168500071697446,0.0028666666666666667
0.00427335754210932,0.0034
0.005192596967591172,0.004633333333333333
0.00630957344480193,0.005233333333333334
0.007666822074546214,0.006866666666666667
0.009316027658125524,0.008266666666666667
0.011319992884026403,0.0099
0.013755029890088569,0.012166666666666666
0.016713866273203284,0.014866666666666667
0.020309176209047358,0.018133333333333335
0.024677871148904736,0.0224
0.02998631348575567,0.0289
0.036436651729009444,0.03596666666666667
0.04427451843494491,0.043333333333333335
0.05379838403443687,0.05333333333333334
0.06537092275705855,0.06553333333333333
0.07943282347242814,0.07883333333333334
0.09651957137350706,0.09583333333333334
0.11728183955791517,0.11616666666666667
0.1425102670302998,0.14196666666666666
0.17316556668620836,0.17323333333333332
0.2104151098066507,0.20806666666666668
0.2556773802217524,0.25403333333333333
0.310675990983383,0.3102
0.3775053205324392,0.38093333333333335
0.45871026782343854,0.4594
0.5573831635270149,0.5609333333333333
0.6772815277441413,0.6776666666666666
0.8229711585129464,0.821
1.0,1.0
