raw_asym,latent_asym,kind
0.1967465318459635,0.8859253,signal
0.41753740345890983,-5.8930473,signal
-0.25521693400587514,5.2204437,signal
0.4958098981808564,-10.9627495,signal
0.12661845010830194,-6.0119286,signal
-0.9314547376715747,12.284875,signal
0.5868498464800789,-21.652678,signal
-0.7245393404650995,31.118608,signal
0.27488413913444526,-1.1514778,signal
0.4816244959944148,-4.9085903,signal
-0.10502911083432748,11.1459675,signal
0.883817912272785,-10.577534,signal
-0.20557742869834103,26.233492,signal
-0.2152293116943684,8.459753,signal
-0.32185483408058413,7.603319,signal
-0.6076335609570482,23.042374,signal
-0.27073060461067266,2.436752,signal
-0.8042435861274323,4.5487843,signal
-0.47756691909081717,35.00827,signal
-0.09188601324433822,8.362272,signal
0.5548049528909667,-13.098438,signal
-0.25041732123979316,10.253538,signal
-0.7487497714708192,18.829908,signal
-0.6288136580331994,37.493843,signal
0.1026453004929397,17.967491,signal
0.4217113873824947,-14.42211,signal
0.47104124570035194,-9.856741,signal
-0.21080552212356476,2.49868,signal
-0.47720480054444403,7.4210987,signal
-0.26865872320487794,5.185318,signal
-0.1566771380807934,10.19034,signal
-0.5901619836636106,28.062708,signal
0.46478082508964463,-9.179699,signal
0.42096861263006197,-11.847109,signal
-0.18155200876408495,17.892683,signal
-0.7586204869914004,18.56165,signal
-0.5544294686467404,34.694164,signal
0.17063137147016227,4.626112,signal
0.19552773121976605,1.4076996,signal
0.5542974561197873,1.8752346,signal
0.3112483192468722,2.063694,signal
0.7165952473661712,-28.126545,signal
0.4761433140277009,-3.9494514,signal
0.5855806781121373,-4.2397747,signal
-0.5832032332456091,20.786125,signal
0.37749863854283655,7.040165,signal
-0.7375896216969088,20.001955,signal
-0.7675964180412521,25.83989,signal
-0.9106857398986296,6.767042,signal
0.46249121319450226,-8.545252,signal
0.47426068410788885,-7.1344833,signal
0.6928530129342139,2.0680385,signal
-0.8564459992148075,10.42942,signal
-0.45105377272698044,22.855965,signal
-0.8652169177946774,10.571524,signal
-0.009175524886934038,-3.8723717,signal
-0.6419219016226981,30.178314,signal
0.40201294424134915,-5.9429073,signal
-0.3554043191036202,8.047472,signal
0.5967446411283907,-4.3930893,signal
0.2257843576199759,9.366318,signal
0.0074551270771999485,-5.4966974,signal
-0.546165070653257,25.505579,signal
0.4741793694497368,-14.566849,signal
0.07399802508729979,8.751827,signal
0.015701278052457062,14.690802,signal
0.6897660781627233,-10.025819,signal
0.6204611768514305,-1.5784812,signal
0.4151409739337133,-9.123487,signal
-0.4068121687421035,12.275406,signal
-0.798400056858945,9.922919,signal
0.7887034309989531,-16.4441,signal
0.7712718636523361,-5.381455,signal
0.750246172497197,-23.09777,signal
0.3713541676778971,-8.277205,signal
0.25132560538972615,-0.75548553,signal
-0.48068767501814297,15.997019,signal
0.480405720956513,-17.954903,signal
-0.7707353610857948,17.853298,signal
-0.17396898966703242,21.302097,signal
-0.0023725668594123724,9.409288,signal
0.6857953899854558,-16.513409,signal
-0.6449082439408771,6.65235,signal
-0.7176011836093649,15.345488,signal
0.03412970007771843,4.8849735,signal
-0.46836608853985295,12.291769,signal
0.7214478006790767,-13.145723,signal
-0.48802177519105394,13.4073305,signal
-0.2655440841349237,17.445606,signal
-0.3672470059581821,22.898975,signal
-0.43808351781511545,13.218266,signal
-0.5255494021422008,11.314682,signal
0.14549882160681693,-0.22078896,signal
-0.6204844486605825,17.427982,signal
0.8516137271015507,-4.845997,signal
0.7551005249222108,-2.0189748,signal
-0.8370986120477683,13.943376,signal
0.285756515260188,1.6858768,signal
0.06119540246705633,-3.1805305,signal
-0.40345327128544023,-2.1386008,signal
0.02763879258799103,0.2738495,signal
0.6627080835817472,-15.041143,signal
-0.11732211614411493,3.4685268,signal
-0.7474572064175387,23.242653,signal
-0.24483144923077205,8.039745,signal
0.4655347421502457,-2.214346,signal
0.8035850026417359,-16.23016,signal
0.5057153087233718,1.6566658,signal
-0.7153239918488871,26.58633,signal
0.06419658665228468,-4.8625736,signal
0.8121620270091164,-5.584921,signal
-0.6004086959284707,32.869648,signal
0.5511179805638401,-0.96525574,signal
0.15179297525822075,5.8244667,signal
-0.14501797570314653,4.1350574,signal
0.4296936866037388,5.677683,signal
-0.7226808460428746,25.96762,signal
0.19662876227554468,1.0002785,signal
-0.10847660820526499,9.742426,signal
0.17684349325715087,2.8123417,signal
0.7812495794038858,-0.4518342,signal
-0.15217548851997892,-2.5813117,signal
-0.8604003682700414,7.5303135,signal
-0.40030666269865556,-3.2514167,signal
0.11453544332388023,8.324961,signal
-0.4037540783696308,31.845697,signal
-0.5654124493040986,26.477787,signal
-0.029976808479377382,10.719157,signal
-0.006905805159766832,13.620478,signal
-0.7244734633793064,4.787109,signal
-0.7346268518116437,17.880188,signal
0.40376537244212035,-0.40742493,signal
0.5408508121633665,-5.426697,signal
-0.2642434023022261,18.747091,signal
-0.10595892774364699,6.77524,signal
-0.5548536353549396,6.710285,signal
0.042878534881575815,-1.3833027,signal
-0.6969724673077976,26.460821,signal
-0.727285207049927,6.0660896,signal
0.3571076093652587,0.33560562,signal
0.6871722978163994,-31.524086,signal
0.5649736661067967,-2.2372932,signal
0.034865142785418746,-14.21794,signal
-0.5257410316373902,18.940567,signal
0.04392208606846553,-1.0701294,signal
-0.7805709406101876,14.667721,signal
-0.10039063278945425,2.7871513,signal
0.14302578168401528,-5.6217556,signal
0.22219947864559358,-2.5177574,signal
-0.37781441978858993,5.702738,signal
-0.27318839573281917,-3.5224237,signal
-0.44503670340234897,13.441405,signal
0.46941734764678616,-0.85311127,signal
-0.22748184382730346,-5.8347797,signal
0.03548934094497704,-1.7986107,signal
0.4824354359243605,-18.56157,signal
0.34852137448507026,10.507109,signal
-0.1999913114415351,0.37425995,signal
0.16692702968474235,16.866709,signal
0.6395912375781259,-8.625189,signal
0.28761592195998964,-7.6452866,signal
0.7271441936628668,-19.637735,signal
0.44456352091405144,-10.777305,signal
0.2059757722147242,-5.672905,signal
-0.7788804002650356,25.774715,signal
0.10539551621513601,0.69916916,signal
-0.1310411734360866,8.537863,signal
-0.19750162172952204,8.851406,signal
-0.26238781609531764,15.271889,signal
-0.6870360394858473,8.352289,signal
0.08397526128467546,-10.714762,signal
-0.10394174009575753,-1.1111622,signal
-0.03605680905576039,-9.983004,signal
0.6161077290155894,-9.286327,signal
0.3622752087883622,-1.3090134,signal
0.23126110046632478,-6.9278564,signal
0.17610273239589816,9.150986,signal
0.34523161623116905,-0.89300156,signal
-0.36804479104933463,1.9995556,signal
0.5829105859821705,1.6170819,signal
-0.26818506410829823,10.56658,signal
0.3964050534796214,7.319683,signal
0.4560082559249809,-6.3708496,signal
0.1332706532726749,6.375579,signal
-0.638513045456211,7.2745266,signal
0.6113726539683981,-17.133007,signal
0.3463566692797758,5.4943504,signal
0.8154749759203134,-3.4620728,signal
-0.40837199908473976,26.898613,signal
-0.517730173241374,25.73028,signal
-0.3750598057722512,23.406767,signal
-0.055598414371529306,22.953262,signal
0.736632811025986,-15.080583,signal
-0.4206702767732461,21.417795,signal
-0.847532630778671,11.405166,signal
-0.7662544516665876,18.821136,signal
-0.11920185113977882,20.110653,signal
-0.7741676912407238,23.144789,signal
0.05387845440730082,-5.880604,signal
-0.44883528465614925,23.305872,signal
0.6486939523354786,-6.133237,signal
0.8425961606008471,-6.3666677,signal
0.6939449751489156,-16.967815,signal
-0.3412065948344517,18.844393,signal
-0.25208327809729647,11.502546,signal
0.36170626879165024,3.0215683,signal
-0.030858579257638227,2.3147469,signal
-0.1386948468603429,2.4545155,signal
0.7512480924883215,-0.6926322,signal
-0.6246937079578333,6.496254,signal
-0.007161277194331961,8.344357,signal
-0.7642277366569267,5.0018415,signal
0.3810589867937545,-5.869565,signal
0.6531215108935454,-16.759348,signal
-0.12023083564000568,3.4607792,signal
-0.6746535031516617,34.043186,signal
-0.6241334123721997,23.08412,signal
0.02785407957041343,1.9679432,signal
0.3279015539577138,1.461731,signal
-0.07630954076126185,2.146185,signal
0.8371152635046585,5.4922495,signal
-0.5778901787290674,-0.13590527,signal
0.40819236037785844,-4.05542,signal
-0.4936507239637463,28.807085,signal
-0.2447158886882625,15.495083,signal
0.07595160906138967,-1.2924252,signal
-0.3567861171810241,9.682833,signal
-0.5527101952140264,-0.7763157,signal
-0.5494705793603191,12.276272,signal
-0.1451692234650661,1.395153,signal
0.7176438096673312,-18.621613,signal
0.5033184543435802,2.5915673,signal
0.7165917786308905,-4.922293,signal
0.33946546941746086,-12.69128,signal
-0.4570188911435583,28.316565,signal
0.5149687719683508,0.86727285,signal
-0.18866767683051086,-8.581993,signal
0.6474621166324767,-7.7951145,signal
0.6113638653686982,-30.255325,signal
0.1730753280790013,-3.0759735,signal
0.03633898460970446,-0.30573845,signal
0.022789015235124402,4.117386,signal
-0.10551872963015939,4.816206,signal
0.33113259231792036,-11.14689,signal
-0.7434776683529725,17.809134,signal
0.7079607560460953,-10.1522255,signal
0.33274605529373874,8.642311,signal
0.6913484652105607,-10.410681,signal
-0.3195963604438775,23.396885,signal
-0.7596127747873468,10.311443,signal
0.13217559331281611,21.357794,signal
0.46444846173145404,-13.561745,signal
-0.4310985473299105,24.90191,signal
